CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
11737,16,121,1-16-2018-121-02,2,1,3,59,0,12,0,0,888,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,79,-79,0,411566,998,0,79,0,1,Lfbc to Rfbc Rebar,Lfbc to Rfbc Rebar,20 cm ROC,120,0,150,0,120,86,21,57,84,86,71,57,,,30.26054005,5,3
11024,26,88,1-26-2018-088-05,5,2,3,1,0,12,0,0,340,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,88,-88,0,434254,998,0,85,0,1,52 CM RIGHT OF FCP MOVING LEFT,LF BUMPER RAIL CORNER TO RF BUMPER RAIL CORNER,37 CM LEFT OF FCP,104,0,146,0,104,81,62,77,81,78,71,45,,,59.22673265,10,3
9832,59,23,1-59-2018-023-01,1,1,1,2,0,12,0,0,110,12FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,1,88,-88,0,307337,998,0,74,0,1,Front Rebar BC to BC,Front Rebar BC to BC,30cm right of LF Rebar BC,91,0,140,0,91,84,75,84,82,72,56,3,,,94.21185073,6,3
10082,32,56,1-32-2018-056-09,9,2,1,1,340,11,1,0,315,11FDEW04,F,D,E,W,4,8,8,8,8,888,888,888,3,52,-49,18,125177,998,73,35,0,1,Entire front plane,Rebar,30 cm right of FCP,120,0,160,0,160,64,20,26,27,29,32,30,,,6150.849464,7,3
9845,19,36,1-19-2018-036-07,7,2,1,1,170,6,0,0,65,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,1,40,39,-7,39515,998,51,25,0,1,22cm from rrbc,bc to bc,78cm from rrbc,125,0,140,-10,105,32,17,32,22,20,8,0,,,1010.344285,9,3
9582,28,13,1-28-2018-013-04,4,1,1,48,210,7,0,0,888,07BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,1,12,11,6,13208,998,-120,12,0,1,67cm RoC ext Left to BC,BC to BC bumper support,52cm LoC,105,0,148,-3,141,24,12,11,9,0,0,0,,,101.5920424,3,3
10126,20,52,1-20-2018-052-09,9,1,1,2,290,10,1,0,200,10LFEW04,L,F,E,W,4,8,8,8,8,888,888,888,1,15,-5,14,37867,998,146,15,0,1,"Begins 325cm FWD of LR axle, extends to LFBC","Begins 238cm FWD of LR axle, extends to LFBC",LFBC,130,152,130,195,65,54,5,3,0,13,30,54,,,499.9140949,11,3
9210,10,8,1-10-2018-008-05,5,1,2,54,320,11,0,0,888,11LFEW04,L,F,E,W,4,8,8,8,8,888,888,888,1,24,-19,16,39189,998,46,24,0,1,begins 270 forward LR axle; forward 79,begins 230 forward LR axle; forward 119,349 forward LR axle,119,155,119,174,79,49,13,8,2,10,39,49,,,88.3086523,4,3
10938,17,86,1-17-2018-086-02,2,2,1,1,180,6,0,0,260,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,1,25,25,0,44255,998,0,26,0,1,BC to BC,BC to BC,RRBC,124,0,144,0,144,49,0,0,11,18,32,49,,,78.63309766,4,3
9196,14,4,1-14-2018-004-03,3,2,1,1,180,6,0,7,260,06BDEW04,B,D,E,W,4,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,36,3,1,Starts 40cm LOC and goes right,Starts 70 LOC and goes right,28cm ROC,111,0,170,0,80,48,2,14,27,40,48,35,,,1066.819616,8,3
