CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
12071,16,139,1-16-2018-139-02,2,2,LF,30,Discover SRX,P235/70R16,UP4E 1D4,9,0,1,36.8506545,5,3
12071,16,139,1-16-2018-139-02,2,2,LR,30,Discover SRX,P235/70R16,UP4E 1D4,10,0,1,36.8506545,5,3
12071,16,139,1-16-2018-139-02,2,2,RR,30,Discover SRX,P235/70R16,UP4E 1D4,10,0,1,36.8506545,5,3
12071,16,139,1-16-2018-139-02,2,2,RF,30,Discover SRX,P235/70R16,UP4E 1D4,9,0,1,36.8506545,5,3
12134,52,82,1-52-2018-082-09,9,1,LF,48,Signature II,P215/55R17,PJ3R KV1R1915,1,0,1,246.8574447,12,3
12134,52,82,1-52-2018-082-09,9,1,RF,59,FR710,P225/55R17,96YE 710 1611,4,0,1,246.8574447,12,3
12134,52,82,1-52-2018-082-09,9,1,RR,59,FR710,P225/55R17,96YE 710,5,0,1,246.8574447,12,3
12134,52,82,1-52-2018-082-09,9,1,LR,48,Signature II,P215/55R17,PJ3R KV1R1915,5,0,1,246.8574447,12,3
12098,18,70,1-18-2018-070-01,1,1,LF,30,CSS GRAND Touring,P185/65R15,U9AD 1CW 4215,4,0,1,80.12808954,6,3
12098,18,70,1-18-2018-070-01,1,1,LR,30,CS4 Touring,P185/65R15,U9AD CL1 1713,5,0,1,80.12808954,6,3
12098,18,70,1-18-2018-070-01,1,1,RR,30,CS4 Touring,P185/65R15,U9AD CL1 3113,4,0,1,80.12808954,6,3
12098,18,70,1-18-2018-070-01,1,1,RF,30,CSS GRAND Touring,P185/65R15,U9AD 1CW 1916,5,0,1,80.12808954,6,3
12097,18,69,1-18-2018-069-04,4,2,LF,30,discoverer A/T3,P255/70R16,UT0K 1A6 0117,6,0,1,1075.443499,6,3
12097,18,69,1-18-2018-069-04,4,2,LR,30,discoverer A/T3,P255/70R16,UT0K 1A6 0417,6,0,1,1075.443499,6,3
12097,18,69,1-18-2018-069-04,4,2,RR,30,discoverer A/T3,P255/70R16,UT0K 1A6 0117,7,0,1,1075.443499,6,3
12097,18,69,1-18-2018-069-04,4,2,RF,887,Unknown,UNKNOWN,1.00E+13,99,9,9,1075.443499,6,3
10894,20,98,1-20-2018-098-02,2,1,LF,999,Unknown,UNKNOWN,1.00E+13,99,9,9,45.70382879,11,3
10894,20,98,1-20-2018-098-02,2,1,RF,999,Unknown,UNKNOWN,1.00E+13,99,9,9,45.70382879,11,3
10894,20,98,1-20-2018-098-02,2,1,LR,999,Unknown,UNKNOWN,1.00E+13,99,9,9,45.70382879,11,3
10894,20,98,1-20-2018-098-02,2,1,RR,999,Unknown,UNKNOWN,1.00E+13,99,9,9,45.70382879,11,3
12117,77,42,1-77-2018-042-04,4,1,LF,65,T64r5ng,P215/65R17,80ED PT453315,3,0,1,1767.59828,9,3
12117,77,42,1-77-2018-042-04,4,1,RF,65,T64r5ng,P215/65R17,80ED PT453315,3,0,1,1767.59828,9,3
12117,77,42,1-77-2018-042-04,4,1,LR,173,TigerPaw,P215/65R17,Y9E3 FPUU,4,0,1,1767.59828,9,3
12117,77,42,1-77-2018-042-04,4,1,RR,173,TigerPaw,P215/65R17,Y9E3 FPUU,3,0,1,1767.59828,9,3
12030,21,117,1-21-2018-117-01,1,1,LF,103,Unknown,UNKNOWN,1.00E+13,99,9,9,35.93649668,11,3
12030,21,117,1-21-2018-117-01,1,1,LR,103,Unknown,UNKNOWN,1.00E+13,99,0,9,35.93649668,11,3
12030,21,117,1-21-2018-117-01,1,1,RF,103,Unknown,UNKNOWN,1.00E+13,99,9,9,35.93649668,11,3
12030,21,117,1-21-2018-117-01,1,1,RR,103,Unknown,UNKNOWN,1.00E+13,99,0,9,35.93649668,11,3
12118,77,43,1-77-2018-043-03,3,1,LF,156,Encounter HT,P215/70R16,R8YV 3MDR3517,8,0,1,535.6136977,9,3
12118,77,43,1-77-2018-043-03,3,1,LR,156,Encounter HT,P215/70R16,R8YV 3MDR0718,8,0,1,535.6136977,9,3
12118,77,43,1-77-2018-043-03,3,1,RF,156,Encounter HT,P215/70R16,R8YV 3MDR3517,7,1,1,535.6136977,9,3
12118,77,43,1-77-2018-043-03,3,1,RR,156,Encounter HT,P215/70R16,R8YV 3MDR0718,8,0,1,535.6136977,9,3
12021,10,76,1-10-2018-076-01,1,1,LF,70,assurance,P215/60R16,M75M JX1R1714,2,1,1,30.15290015,4,3
12021,10,76,1-10-2018-076-01,1,1,LR,115,premiere cp672,P215/60R16,8EF1 LBCL2014,5,1,1,30.15290015,4,3
12021,10,76,1-10-2018-076-01,1,1,RR,115,premiere cp672,P215/60R16,8EF1 LBCR2014,5,0,1,30.15290015,4,3
