CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28162,18,1,1-18-2023-001-10,10,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,880.819179,6,8
28162,18,1,1-18-2023-001-10,10,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,880.819179,6,8
28162,18,1,1-18-2023-001-10,10,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,880.819179,6,8
28164,32,1,1-32-2023-001-09,9,1,1,1,1,99,1,0,1,0,0,50,9,9,1,24,-24,0,30970,998,20,0,1,1,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,2,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,3,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,6,4,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,7,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2450.833678,7,8
28164,32,1,1-32-2023-001-09,9,1,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,2450.833678,7,8
28166,14,1,1-14-2023-001-10,10,1,1,1,1,99,1,0,1,0,0,50,9,9,1,28,-28,0,35574,998,28,0,1,1,6775.008408,8,8
28166,14,1,1-14-2023-001-10,10,1,2,2,1,99,1,0,1,0,0,50,,,,,,,,,,,,,6775.008408,8,8
28172,10,1,1-10-2023-001-02,2,1,1,1,1,99,1,99,1,0,97,97,9,9,1,39,-39,7,102061,998,32,0,1,1,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,1,2,3,1,99,1,99,1,0,97,97,,,,,,,,,,,,,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,2,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,2,3,8,1,99,1,99,1,0,97,97,9,9,1,54,54,0,254025,998,60,0,1,1,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,2,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,231.7332471,4,8
28172,10,1,1-10-2023-001-02,2,2,5,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,231.7332471,4,8
