CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
31120,54,65,1-54-2023-065-04,4,1,326,540,189,1833,158,94,120,160,6,3.6,2,2,0,0,57,146.8394981,9,8
31120,54,65,1-54-2023-065-04,4,2,256,427,177,1468,154,94,77,160,4,1.4,2,1,0,1,60,146.8394981,9,8
31123,48,73,1-48-2023-073-10,10,2,262,444,181,1495,155,86,95,150,4,2.5,2,3,0,1,59,307.6425026,12,8
31123,48,73,1-48-2023-073-10,10,1,333,533,182,1755,156,87,113,999,8,4.7,2,3,9,0,58,307.6425026,12,8
31125,18,66,1-18-2023-066-04,4,2,267,446,178,1382,155,97,83,138,4,2.0,2,4,0,0,60,1237.120723,6,8
31126,18,67,1-18-2023-067-05,5,1,286,479,184,1782,158,96,97,999,4,2.4,2,4,9,0,58,121.0690241,6,8
31126,18,67,1-18-2023-067-05,5,2,308,514,200,2050,166,96,111,164,6,3.6,2,1,0,0,56,121.0690241,6,8
31128,59,102,1-59-2023-102-05,5,1,282,483,191,1907,162,104,99,168,6,3.6,2,1,0,0,59,59.64497951,6,8
31128,59,102,1-59-2023-102-05,5,2,302,517,199,2107,171,102,113,178,6,3.6,2,1,0,0,55,59.64497951,6,8
31129,33,52,1-33-2023-052-03,3,1,264,441,181,1391,156,91,87,146,3,1.3,2,1,0,0,99,71.00985497,12,8
31131,17,115,1-17-2023-115-04,4,1,281,509,185,1630,158,110,120,148,6,3.5,2,1,0,1,61,138.8080237,4,8
31131,17,115,1-17-2023-115-04,4,2,278,480,189,1793,164,95,108,178,4,2.4,2,4,0,0,56,138.8080237,4,8
31132,17,116,1-17-2023-116-04,4,1,270,464,176,1315,152,94,100,162,4,1.8,2,1,0,0,61,138.8080237,4,8
31132,17,116,1-17-2023-116-04,4,2,264,444,186,1432,162,89,90,165,4,2.4,2,1,0,0,58,138.8080237,4,8
31137,12,79,1-12-2023-079-04,4,1,270,464,184,1536,159,94,100,164,4,2.5,2,1,0,0,59,548.341571,9,8
31140,20,80,1-20-2023-080-10,10,1,300,511,192,1955,168,100,113,160,6,3.5,2,1,0,0,57,5494.997294,11,8
31140,20,80,1-20-2023-080-10,10,2,334,558,195,2489,168,92,134,999,8,5.7,2,3,9,0,99,5494.997294,11,8
31143,24,85,1-24-2023-085-02,2,1,278,485,199,2058,170,95,113,999,6,3.5,2,4,0,1,55,159.7101838,1,8
31143,24,85,1-24-2023-085-02,2,2,269,459,185,1583,161,92,99,161,4,2.5,2,4,0,0,57,159.7101838,1,8
32246,29,86,1-29-2023-086-04,4,2,266,463,185,1755,158,99,98,999,4,2.0,2,4,9,0,59,390.5088025,2,8
32260,23,95,1-23-2023-095-06,6,1,357,574,201,2336,173,102,116,180,6,3.6,2,3,0,0,57,364.9799061,5,8
32260,23,95,1-23-2023-095-06,6,2,285,484,192,1700,163,92,107,999,6,3.6,2,9,9,0,52,364.9799061,5,8
32280,18,100,1-18-2023-100-04,4,1,281,486,186,1465,159,97,109,999,4,2.4,2,1,9,0,61,340.8099907,6,8
32280,18,100,1-18-2023-100-04,4,2,270,471,186,1630,160,97,104,999,4,2.0,2,3,9,0,58,340.8099907,6,8
32323,25,105,1-25-2023-105-04,4,1,370,593,203,2445,175,99,124,999,6,3.4,2,3,0,0,99,440.8616209,2,8
32323,25,105,1-25-2023-105-04,4,2,270,463,176,1300,153,91,102,140,4,1.8,2,1,0,0,60,440.8616209,2,8
32326,16,124,1-16-2023-124-02,2,1,269,454,184,1611,157,93,92,152,4,1.5,2,4,0,0,58,13.88779885,5,8
32326,16,124,1-16-2023-124-02,2,2,270,469,184,1550,160,97,102,152,4,2.5,2,4,0,0,57,13.88779885,5,8
32332,32,179,1-32-2023-179-02,2,1,271,464,182,1385,160,91,102,150,4,2.0,2,1,0,0,61,22.79963395,7,8
32332,32,179,1-32-2023-179-02,2,2,389,595,202,2639,171,101,105,170,8,6.0,2,2,0,0,60,22.79963395,7,8
32343,28,107,1-28-2023-107-07,7,1,256,427,177,1523,154,94,77,154,4,1.4,2,4,0,0,60,44.13141895,3,8
32352,21,115,1-21-2023-115-06,6,1,308,514,200,2050,166,96,111,150,6,3.6,2,1,0,0,56,1358.878251,11,8
31145,13,104,1-13-2023-104-05,5,1,305,508,191,1797,162,92,110,170,6,3.6,2,2,0,0,56,148.3128769,7,8
31146,13,105,1-13-2023-105-03,3,3,259,449,172,1225,149,92,98,140,4,2.0,2,1,0,1,61,706.9874832,7,8
31146,13,105,1-13-2023-105-03,3,1,368,584,203,2028,172,96,120,180,6,3.5,2,2,0,0,58,706.9874832,7,8
31146,13,105,1-13-2023-105-03,3,2,282,498,196,1970,169,104,111,170,6,3.5,2,2,0,0,58,706.9874832,7,8
31151,10,128,1-10-2023-128-06,6,1,265,437,186,1475,154,90,82,140,4,2.0,2,1,0,0,60,246.9185007,4,8
31151,10,128,1-10-2023-128-06,6,2,302,517,199,2107,171,102,113,160,6,3.6,2,1,0,0,55,246.9185007,4,8
31151,10,128,1-10-2023-128-06,6,3,300,511,192,1980,168,100,113,160,6,3.5,2,1,0,0,57,246.9185007,4,8
31152,10,129,1-10-2023-129-06,6,2,278,487,183,1453,159,97,112,150,4,2.5,2,1,0,0,60,246.9185008,4,8
31154,10,131,1-10-2023-131-01,1,1,281,509,185,1613,158,110,120,150,6,3.6,2,1,0,0,61,19.95004175,4,8
