CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,VPICMAKE,VPICMODEL,VPICBODYCLASS,ICFINALBODY,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,INSPLAG,TOWED,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJSEV,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,SHLDRWIDTH,STRKLENGTH,STRKWIDTH,STRKHEIGHT,EDGEDISTX,EDGEDISTY,EDGEDISTZ,CASEWGT,PSUSTRAT,VERSION
31012,26,86,1-26-2023-086-06,6,1,2C3CCAAG8EH2,17,477,1878,13,0,6,51,2014,4,1,5,0,1,F,1,2047,5,0,1,1,31,2,105,1,0,0,995,0,0,0,95818,2,9,1,2,4,1,2,1,1,9,1,3,0,0,2,1,0,0,1,1,1,1,1,3,9,4,1,A,2,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,12,999,999,999,9999999,999,999,999,6,0,1,1,0,1,4,0,998,3.3,999,999,999,99.9,3.3,99.9,394.685274,10,8
31013,29,63,1-29-2023-063-04,4,1,SALRU2RV5L24,17,444,9337,7,0,62,425,2020,15,3,15,0,1,F,9,1910,5,9999,9,0,998,2,56,1,8,0,995,0,7,0,02760,9,9,0,4,4,2,2,1,1,1,3,2,0,0,1,1,0,0,1,1,15,2,13,99,9,4,1,A,1,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,0,998,0.2,999,999,999,0.0,0.0,0.0,448.5185845,2,8
31014,29,64,1-29-2023-064-08,8,1,5XYKT3A14BG0,17,499,2769,7,0,63,402,2011,14,3,14,0,1,F,2,1635,5,9999,9,0,998,7,48,1,9,1,200,2,9,0,02743,1,9,3,4,2,1,2,1,1,1,0,2,0,0,3,1,0,0,9,0,1,4,60,99,1,1,4,K,83,0,0,0,0,0,0,0,0,0,0,20,265,0,0,0,1,3,26,-26,0,32239,998,0,22,0,4,2,5,0,1,3,0,995,9.8,998,998,998,99.8,99.8,99.8,106.5608645,2,8
31014,29,64,1-29-2023-064-08,8,2,JF2SHADC3DH4,17,523,2234,7,0,48,401,2013,14,3,14,0,1,L,2,1570,5,0,1,1,8,2,48,1,0,0,995,0,0,0,02745,9,9,3,4,2,1,1,1,1,1,0,0,0,0,3,1,0,0,1,0,11,2,15,99,1,1,4,K,82,0,0,0,0,0,0,0,0,0,0,265,20,0,0,0,1,3,27,-14,24,66441,998,-53,30,0,4,2,5,0,1,4,0,995,0.0,999,999,999,99.9,99.9,99.9,106.5608645,2,8
31015,29,65,1-29-2023-065-06,6,1,58ABK1GG8HU0,17,515,2475,13,0,59,31,2017,4,1,4,0,1,F,1,1610,5,9999,9,4,75,5,40,1,0,0,995,0,0,0,02840,9,9,2,4,2,1,1,1,1,1,0,0,0,0,1,1,2,2,9,0,11,2,15,9,1,1,4,K,76,0,0,0,0,0,0,0,0,0,0,80,10,0,0,0,1,98,999,999,999,9999999,999,999,999,6,0,95,95,95,95,95,0,995,9.8,998,998,998,99.8,99.8,99.8,344.5305882,2,8
31015,29,65,1-29-2023-065-06,6,2,5N1AT2MV8GC8,17,478,1913,8,0,35,51,2016,6,1,3,0,1,L,1,1610,5,9999,9,4,37,2,40,1,0,0,995,0,0,0,02840,9,9,2,4,2,1,1,1,2,1,0,2,0,0,1,1,0,0,9,0,14,4,65,99,1,1,4,K,77,0,0,0,0,0,0,0,0,0,0,10,80,0,0,0,1,12,999,999,999,9999999,999,999,999,6,0,99,99,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,344.5305882,2,8
31017,30,89,1-30-2023-089-04,4,1,1HGCV2F31MA0,17,474,1861,13,0,37,32,2021,4,1,4,0,1,L,1,1462,5,0,1,1,16,2,72,1,0,0,995,0,0,0,85043,1,1,2,4,2,1,2,1,1,1,0,0,0,0,1,1,2,2,9,0,11,2,15,1,1,1,4,K,82,0,0,0,0,0,0,0,0,0,0,150,230,0,0,0,1,3,8,-1,8,7059,998,100,9,0,4,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,1121.538771,10,8
31017,30,89,1-30-2023-089-04,4,2,1G1BC5SMXG72,17,467,1832,13,0,20,25,2016,4,1,3,0,1,F,1,1399,5,0,1,1,12,2,72,1,0,0,995,0,0,0,85353,9,9,2,4,4,2,2,1,1,1,3,2,0,0,1,1,0,0,1,0,1,4,66,2,1,1,4,K,83,0,0,0,0,0,0,0,0,0,0,230,150,0,0,0,1,3,8,-8,-3,2854,998,-69,6,0,4,99,99,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,1121.538771,10,8
31019,10,125,1-10-2023-125-07,7,1,1GNKRHKD4EJ2,17,467,1853,7,0,20,423,2014,15,3,15,0,1,F,1,2107,5,0,1,1,4,2,40,1,0,0,995,0,0,0,45439,9,9,0,4,2,1,2,1,2,1,0,0,0,0,1,1,0,0,1,1,14,2,12,99,1,4,1,B,6,0,0,0,0,0,0,0,0,0,0,85,280,0,0,0,1,8,999,999,999,9999999,999,999,999,6,0,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,1034.42821,4,8
31019,10,125,1-10-2023-125-07,7,2,1HGFA16817L0,17,474,1863,13,0,37,31,2007,4,1,3,0,2,L,1,1224,5,0,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,,,,,,,,,,1034.42821,4,8
