CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
16073,15,2,1-15-2020-002-04,4,182.2278703,0,92.24310066,88.70514779,90.43522089,90.43475841,90.44525664,90.42479069,89.96752375,90.90829647,92.96339714,88.16590221,90.45416553,91.54597009,90.45411736,90.41718949,87.82090894,93.39395123,92.81042961,97.18180369,90.45268168,90.41765914,90.72935661,90.41117191,88.35653545,92.37937542,90.70765261,90.16455357,90.41496588,90.45467553,90.41455629,90.45535844,90.4349871295391,1,5
16322,29,16,1-29-2020-016-08,8,32.15320164,31.66957692,66.02406735,0,31.90185174,31.9178283,31.92869685,31.89138021,32.49547336,31.46912311,31.01413884,32.8266338,33.25905931,31.56287706,31.97399618,31.85019229,38.79605458,27.98472219,37.14408942,28.53747147,32.18547042,31.67970705,32.77469849,32.46273334,31.64841699,32.21621609,31.96224427,31.85891612,31.95464457,31.86694584,31.91675679,31.90314683,31.9099208655541,2,5
16213,18,4,1-18-2020-004-07,7,1210.945587,1207.264412,1210.629453,1207.410511,1235.635081,1183.024219,1206.850896,1210.511665,1208.710432,1208.62506,1228.308003,1208.665924,1195.49671,1222.362867,0,2238.725043,1255.849749,1218.42714,1239.518891,1285.547548,1235.418211,1183.439375,1409.394796,1074.98729,1212.534631,1206.680435,1209.008849,1208.336732,1194.226216,1225.337714,1231.602099,1185.598521,1208.66991657914,6,5
16256,24,13,1-24-2020-013-04,4,0,1463.272141,736.0882948,734.6459524,735.357863,735.3541024,735.4394669,735.2730517,734.4196236,736.2960668,727.8573891,743.1182002,735.5119079,744.389722,735.5115163,735.2112439,734.6034331,738.3237934,756.2481076,788.7162353,735.4998423,735.2150628,737.7495751,735.162313,729.9966844,740.7487397,737.5730929,733.15698,735.193163,735.516055,735.1898325,735.5216079,735.355962215073,1,5
16279,76,8,1-76-2020-008-10,10,307.0758319,302.6431511,304.0233392,305.5567899,619.21238,0,305.8595442,303.6423802,305.0153099,304.5386918,312.4201645,302.1915696,294.635016,326.6389627,339.5865248,277.8454492,318.7354612,315.1286649,295.6515655,344.4680251,302.5645296,306.9509109,308.241268,307.9131686,314.523075,307.2962408,305.0132516,304.5443806,312.1849353,297.6578742,280.7642898,338.2558442,304.777838145323,3,5
20235,18,95,1-18-2020-095-04,4,581.3999161,579.7156548,580.9217444,580.1391925,590.5678348,570.8143352,582.5631372,578.554629,580.4145405,580.6304816,581.3019099,579.8094296,629.9415807,547.9768346,0,1119.390215,581.9013496,580.8811742,598.1565036,621.4562251,599.8466872,563.1846742,485.7879327,714.4616281,580.1533951,580.8598255,580.3600577,580.6864849,592.6165396,568.7271511,589.4136443,571.6524542,580.521831806916,6,5
20229,25,135,1-25-2020-135-07,7,1743.76248,1721.968388,0,3362.38795,1732.307316,1732.113546,1732.140372,1732.27823,1750.062332,1714.164648,1720.896985,1771.570662,1732.320432,1732.093256,1732.788249,1731.674261,1738.354688,1806.397907,1738.832441,1882.606241,1732.352218,1732.068182,1732.978201,1731.407298,1778.835052,1697.017284,1738.403553,1726.063642,1731.812186,1732.599732,1731.63996,1732.780286,1732.20921810657,2,5
20232,28,96,1-28-2020-096-10,10,1257.237484,1239.089093,1244.739893,1251.018185,0,2457.42077,1252.257729,1243.180162,1248.801244,1246.849863,1279.118383,1237.240217,1206.301988,1337.33334,1390.34357,1137.561727,1304.974628,1290.207593,1210.46397,1410.329529,1238.767199,1256.72603,1262.009042,1260.665729,1287.728172,1258.139888,1248.792817,1246.873154,1278.155302,1218.678249,1149.512116,1384.895464,1247.82898156726,3,5
20212,10,195,1-10-2020-195-05,5,28.19973605,28.23431278,28.65587598,27.79411413,28.215698,28.215698,28.215698,28.215698,56.55511245,0,27.2721359,29.25765092,28.215698,28.215698,28.215698,28.215698,28.35420578,28.67647532,26.30943056,30.63851212,28.215698,28.215698,28.27079885,28.65611181,27.89604018,28.53248592,28.30865835,28.12334617,28.215698,28.215698,28.215698,28.215698,28.215697997965,4,5
19757,25,126,1-25-2020-126-06,6,278.7033879,275.5772102,0,546.2218606,277.13698,277.13698,277.13698,277.13698,281.0790027,272.9977509,274.7721732,279.583056,277.13698,277.13698,277.13698,277.13698,282.7520693,272.3497953,267.6100477,308.2687441,277.13698,277.13698,279.3291079,277.13698,276.7786394,277.677042,278.0500445,276.2298926,277.13698,277.13698,277.13698,277.13698,277.1369800194,2,5
