CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
19527,22,114,1-22-2020-114-06,6,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,37.6263128277381,12,5
19533,19,156,1-19-2020-156-07,7,1,RF,93,Touring,P205/55R16,M60F YT1R0918,5,0,1,236.957159521214,9,5
19533,19,156,1-19-2020-156-07,7,1,LF,93,Touring,P205/55R16,M60F YT1R0918,5,0,1,236.957159521214,9,5
19533,19,156,1-19-2020-156-07,7,1,RR,28,ContiProContact,P205/55R16,P5T2 3VN 0416,1,0,1,236.957159521214,9,5
19533,19,156,1-19-2020-156-07,7,1,LR,28,ContiProContact,P205/55R16,P5T2 3VN 0516,2,0,1,236.957159521214,9,5
19534,19,157,1-19-2020-157-04,4,1,LF,998,Cavalry,P245/60R18,1YC1 25PC,6,0,1,121.712133943493,9,5
19534,19,157,1-19-2020-157-04,4,1,RF,998,Cavalry,P245/60R18,1YC1 25PC,6,0,1,121.712133943493,9,5
19534,19,157,1-19-2020-157-04,4,1,LR,998,Cavalry,P245/60R18,1YC1 25PC,7,0,1,121.712133943493,9,5
19534,19,157,1-19-2020-157-04,4,1,RR,998,Cavalry,P245/60R18,1YC1 25PC,7,0,1,121.712133943493,9,5
19538,18,76,1-18-2020-076-01,1,1,LF,155,Solarus AS,P215/75R15,U936 LW7 5019,8,0,1,69.9314531449724,6,5
19538,18,76,1-18-2020-076-01,1,1,RF,155,Solarus AS,P215/75R15,U936 LW7 5019,8,0,1,69.9314531449724,6,5
19538,18,76,1-18-2020-076-01,1,1,LR,155,Solarus AS,P215/75R15,9999999999999,8,1,1,69.9314531449724,6,5
19538,18,76,1-18-2020-076-01,1,1,RR,155,Solarus AS,P215/75R15,U936 LW7 4719,8,0,1,69.9314531449724,6,5
19539,18,77,1-18-2020-077-07,7,1,LF,70,Wrangler TrailRunner AT,LT265/70R17,MDAH D71V3318,6,0,2,4274.59351646962,6,5
19539,18,77,1-18-2020-077-07,7,1,LR,70,Wrangler TrailRunner AT,LT265/70R17,MDAH D71V3318,3,0,2,4274.59351646962,6,5
19539,18,77,1-18-2020-077-07,7,1,RR,70,Wrangler TrailRunner AT,LT265/70R17,MDAH D71V3318,3,0,2,4274.59351646962,6,5
19539,18,77,1-18-2020-077-07,7,1,RF,70,Wrangler TrailRunner AT,LT265/70R17,MDAH D71V3318,5,0,2,4274.59351646962,6,5
19548,26,149,1-26-2020-149-02,2,2,RR,76,KINERGY GT,P235/45R18,5MN9 1BH 4418,6,0,1,57.9383474648306,10,5
19548,26,149,1-26-2020-149-02,2,2,RF,17,POTENZA RE97 AS,P235/45R18,0BFU PR2 0915,6,0,1,57.9383474648306,10,5
19548,26,149,1-26-2020-149-02,2,2,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,57.9383474648306,10,5
19548,26,149,1-26-2020-149-02,2,2,LR,76,KINERGY GT,P235/45R18,5MN9 1BH 4418,6,1,1,57.9383474648306,10,5
19556,76,81,1-76-2020-081-03,3,1,LF,999,Unknown,UNKNOWN,9999999999999,99,1,9,16.5199357957095,3,5
19556,76,81,1-76-2020-081-03,3,1,RF,999,Unknown,UNKNOWN,9999999999999,99,0,9,16.5199357957095,3,5
19556,76,81,1-76-2020-081-03,3,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,16.5199357957095,3,5
19556,76,81,1-76-2020-081-03,3,1,RR,999,Unknown,UNKNOWN,9999999999999,99,0,9,16.5199357957095,3,5
19557,24,160,1-24-2020-160-04,4,1,RR,115,n priz ah8,P205/55R16,UA8X,8,0,1,742.324652766698,1,5
19557,24,160,1-24-2020-160-04,4,1,RF,115,n priz ah8,P205/55R16,UA8X BMLL0919,8,0,1,742.324652766698,1,5
19557,24,160,1-24-2020-160-04,4,1,LF,115,n priz ah8,P205/55R16,UA8X CAAL0619,9,0,1,742.324652766698,1,5
19557,24,160,1-24-2020-160-04,4,1,LR,115,n priz ah8,P205/55R16,UA8X,7,0,1,742.324652766698,1,5
19558,29,156,1-29-2020-156-10,10,1,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,1,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,1,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,3,LF,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,3,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,3,LR,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19558,29,156,1-29-2020-156-10,10,3,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,1042.95611946111,2,5
19559,25,120,1-25-2020-120-10,10,1,RF,70,EAGLE RS-A,P235/45R17,M68P LNER4803,7,0,1,1330.69804663974,2,5
19559,25,120,1-25-2020-120-10,10,1,RR,103,Pilot HX,P215/55R16,F3VM DPNX1502,4,0,1,1330.69804663974,2,5
19559,25,120,1-25-2020-120-10,10,1,LR,998,EcoPlus,P195/65R15,CNPC PXBU0304,8,0,1,1330.69804663974,2,5
19559,25,120,1-25-2020-120-10,10,1,LF,103,Unknown,P235/45R17,F34C 004X1013,5,0,1,1330.69804663974,2,5
19552,30,141,1-30-2020-141-02,2,1,LR,115,N Priz ah8,P195/65R15,UA8T,10,0,1,43.3246230084125,10,5
19552,30,141,1-30-2020-141-02,2,1,LF,115,N Priz ah8,P195/65R15,UA8T DAFL3219,12,1,1,43.3246230084125,10,5
19552,30,141,1-30-2020-141-02,2,1,RF,115,N Priz ah8,P195/65R15,UA8T DAFR3319,8,0,1,43.3246230084125,10,5
19552,30,141,1-30-2020-141-02,2,1,RR,115,N Priz AH8,P195/65R15,UA8T AMKR3319,8,0,1,43.3246230084125,10,5
19567,77,95,1-77-2020-095-04,4,2,LF,89,MAJESTY 9 SOLUS,P235/50R18,1H2WVYCJ90320,8,0,1,5853.1437671276,9,5
19567,77,95,1-77-2020-095-04,4,2,LR,89,MAJESTY 9 SOLUS,P235/50R18,1H2WVYCJ90420,8,0,1,5853.1437671276,9,5
19567,77,95,1-77-2020-095-04,4,2,RF,89,MAJESTY 9 SOLUS,P235/50R18,1H2WVYCJ90420,7,0,1,5853.1437671276,9,5
19567,77,95,1-77-2020-095-04,4,2,RR,89,MAJESTY 9 SOLUS,P235/50R18,1H2WVYCJ90320,7,0,1,5853.1437671276,9,5
19573,14,78,1-14-2020-078-06,6,2,LF,998,KENETICHO TOURING,P215/60R16,02T  ANL 2920,9,0,1,1976.47825679332,8,5
19573,14,78,1-14-2020-078-06,6,2,LR,998,KENETICHO TOURING,P215/60R16,02T  ANL 2920,9,0,1,1976.47825679332,8,5
19573,14,78,1-14-2020-078-06,6,2,RR,998,KENETICHO TOURING,P215/60R16,02T  ANL 2920,9,0,1,1976.47825679332,8,5
