CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
19999,23,66,1-23-2020-066-02,2,1,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,4626,54.7066912658746,5,5
20053,10,187,1-10-2020-187-03,3,1,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,1944,315.387231706028,4,5
20053,10,187,1-10-2020-187-03,3,2,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,14777,315.387231706028,4,5
20057,11,95,1-11-2020-095-01,1,1,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,2989,122.645944177051,8,5
20065,24,185,1-24-2020-185-03,3,2,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,11706,323.246347169743,1,5
20058,11,96,1-11-2020-096-05,5,1,1,1,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,9535,187.061947743811,8,5
20066,24,186,1-24-2020-186-02,2,1,1,2,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,24489,45.9948647167708,1,5
20063,48,77,1-48-2020-077-07,7,1,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,9551,147.627117697209,12,5
20067,24,187,1-24-2020-187-07,7,1,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,7396,1470.88341702491,1,5
20064,48,78,1-48-2020-078-10,10,1,1,1,Crash Data Retrieval Tool 19.6.1,Crash Data Retrieval Tool 19.5.3,1,19785,669.490455406449,12,5
20070,28,93,1-28-2020-093-01,1,1,1,2,Crash Data Retrieval Tool 19.6,Crash Data Retrieval Tool 19.5.3,1,12614,47.266210623886,3,5
