CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6353,17,12,1-17-2017-012-07,7,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1124.00172722639,4,2
6360,33,10,1-33-2017-010-06,6,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,227.116484260283,12,2
6362,19,19,1-19-2017-019-06,6,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8907,417.704209858924,9,2
6363,19,20,1-19-2017-020-04,4,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1678,1320.59535121042,9,2
6367,12,7,1-12-2017-007-04,4,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,123,1021.86144489025,9,2
6354,21,6,1-21-2017-006-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5439,1145.92166113939,11,2
6370,13,11,1-13-2017-011-08,8,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1502.31800595479,7,2
6364,18,7,1-18-2017-007-02,2,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,2981,124.559546533485,6,2
6344,10,5,1-10-2017-005-02,2,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7472,53.6821037817962,4,2
6377,26,6,1-26-2017-006-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6626,3522.06508047726,10,2
6385,23,12,1-23-2017-012-03,3,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,340.446348711426,5,2
6393,32,14,1-32-2017-014-04,4,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,2594,8974.51772059799,7,2
6392,32,13,1-32-2017-013-01,1,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,25759,473.930148358357,7,2
6396,12,8,1-12-2017-008-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1940,1095.44977438854,9,2
6390,24,14,1-24-2017-014-01,1,2,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,176.182961823483,1,2
6387,16,14,1-16-2017-014-06,6,3,1,1,Crash Data Retrieval Tool 17.1,Crash Data Retrieval Tool 18.0.2,1,999998,402.490501033813,5,2
6394,19,21,1-19-2017-021-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,10992,2777.33927092249,9,2
6394,19,21,1-19-2017-021-03,3,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19521,2777.33927092249,9,2
6395,19,22,1-19-2017-022-02,2,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5706,231.027812744659,9,2
6382,28,7,1-28-2017-007-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,21370,302.814064043019,3,2
6382,28,7,1-28-2017-007-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7366,302.814064043019,3,2
6397,29,5,1-29-2017-005-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1130,778.699463795887,2,2
6397,29,5,1-29-2017-005-03,3,3,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,778.699463795887,2,2
6398,31,6,1-31-2017-006-07,7,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1609.39441873419,6,2
6402,33,12,1-33-2017-012-04,4,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,2998,266.916315329579,12,2
6400,11,2,1-11-2017-002-07,7,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,4629.69511355905,8,2
6408,13,12,1-13-2017-012-03,3,2,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,6552,1539.2195530557,7,2
6409,13,13,1-13-2017-013-05,5,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6384,262.308352012858,7,2
6416,30,16,1-30-2017-016-09,9,1,1,1,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,13754,2649.49636731665,10,2
6405,18,8,1-18-2017-008-07,7,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1457.92941404829,6,2
6418,26,7,1-26-2017-007-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,2711.20999557033,10,2
6421,30,18,1-30-2017-018-07,7,1,1,2,Crash Data Retrieval Tool 17.2,Crash Data Retrieval Tool 18.0.2,1,999998,1668.60546069685,10,2
