CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
7856,30,73,1-30-2017-073-03,3,1,B,1,1,1,101,12,2,435.405052074813,10,2
8704,28,64,1-28-2017-064-09,9,1,C,1,1,1,761,12,2,3000.90381316687,3,2
7745,15,57,1-15-2017-057-03,3,2,C,1,1,1,761,12,2,320.258233574086,1,2
8628,25,47,1-25-2017-047-01,1,1,B,1,1,1,101,12,2,220.049992585504,2,2
7872,24,92,1-24-2017-092-10,10,1,C,1,1,1,101,12,2,5907.93595895522,1,2
7673,22,83,1-22-2017-083-01,1,1,B,1,1,1,101,12,2,167.843685715869,12,2
7313,19,71,1-19-2017-071-02,2,1,A,1,1,1,999,12,2,102.254368521873,9,2
6450,18,9,1-18-2017-009-06,6,2,B,1,3,1,201,4,2,257.06934486803,6,2
6273,20,7,1-20-2017-007-03,3,1,B,1,25,2,851,4,2,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,1,C,1,25,2,851,4,2,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,1,D,1,26,2,851,4,2,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,1,E,1,26,2,851,4,2,222.029212725436,11,2
6617,28,13,1-28-2017-013-02,2,1,A,1,20,1,101,4,2,88.0895660777779,3,2
7359,27,9,1-27-2017-009-03,3,1,B,1,3,1,999,4,2,385.470075835503,3,2
8501,31,43,1-31-2017-043-08,8,1,A,1,24,1,841,4,2,595.993058233415,6,2
8819,30,101,1-30-2017-101-02,2,1,A,1,24,1,841,4,2,61.3244750211792,10,2
8819,30,101,1-30-2017-101-02,2,1,B,1,24,1,842,4,2,61.3244750211792,10,2
6405,18,8,1-18-2017-008-07,7,1,I,1,3,1,201,4,2,1457.92941404829,6,2
8125,14,55,1-14-2017-055-03,3,1,A,1,3,1,201,4,2,443.835778905669,8,2
7434,22,73,1-22-2017-073-03,3,1,E,1,1,1,999,12,9,52.6005994637374,12,2
7043,28,24,1-28-2017-024-06,6,2,F,1,22,2,999,3,9,108.498227174745,3,2
