CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
9048,20,169,1-20-2017-169-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,7,7,1,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,7,7,199.639627493091,11,2
7780,27,17,1-27-2017-017-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,264.386723032081,3,2
7937,27,20,1-27-2017-020-04,4,1,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,375.265432712776,3,2
6944,24,43,1-24-2017-043-03,3,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,1,7,7,344.526835652634,1,2
7013,24,47,1-24-2017-047-04,4,2,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,1691.42864715331,1,2
8524,24,125,1-24-2017-125-03,3,2,1,1,1,0.00,0.00,7,0,39.00,39.00,39.00,9997.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,9997.00,9997.00,7,7,7,199.877249856568,1,2
8770,31,47,1-31-2017-047-04,4,1,1,1,1,12.00,162.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,1,12.00,162.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,5,7,1876.28997287848,6,2
6257,22,10,1-22-2017-010-06,6,2,1,1,1,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,2,7,94.797052813258,12,2
6595,22,24,1-22-2017-024-03,3,1,1,1,1,9994.00,9997.00,7,8,9995.00,9997.00,9994.00,9997.00,9997.00,0,7,7,0,9994.00,9997.00,7,8,9995.00,9997.00,9994.00,9997.00,9997.00,7,7,7,166.374615758244,12,2
6500,22,20,1-22-2017-020-09,9,1,1,1,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,0,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,795.828383252832,12,2
6961,22,47,1-22-2017-047-06,6,1,1,1,1,41.50,191.50,7,8,9997.00,9997.00,34.50,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9997.00,34.50,9997.00,9997.00,7,1,7,572.63381011277,12,2
6978,23,41,1-23-2017-041-03,3,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,107.00,107.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,263.119593647134,5,2
7150,23,53,1-23-2017-053-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,0,7,209.719806006596,5,2
8186,23,100,1-23-2017-100-03,3,3,1,2,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,5,7,140.074441818925,5,2
8186,23,100,1-23-2017-100-03,3,3,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,28.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,5,7,140.074441818925,5,2
