CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
7590,31,35,1-31-2017-035-10,10,2,1,1,1,1,88,8,88,8,1073.84216837139,6,2
7593,17,50,1-17-2017-050-07,7,1,1,1,1,1,88,8,88,8,900.226382664292,4,2
7592,17,51,1-17-2017-051-04,4,1,1,1,1,1,88,8,88,8,800.07618116919,4,2
7592,17,51,1-17-2017-051-04,4,2,1,1,1,1,88,8,88,8,800.07618116919,4,2
7596,22,79,1-22-2017-079-06,6,2,1,1,1,1,88,8,88,8,77.1369113881955,12,2
7595,25,20,1-25-2017-020-02,2,1,1,1,1,1,88,8,88,8,79.5916030273087,2,2
7656,16,58,1-16-2017-058-07,7,1,1,1,1,1,88,8,88,8,1698.43017360501,5,2
7656,16,58,1-16-2017-058-07,7,2,1,1,1,1,88,8,88,8,1698.43017360501,5,2
7664,25,21,1-25-2017-021-02,2,1,1,1,1,1,88,8,88,8,59.2358087039559,2,2
7657,16,59,1-16-2017-059-02,2,1,1,1,1,1,88,8,88,8,36.4311205027699,5,2
7657,16,59,1-16-2017-059-02,2,2,1,1,1,1,88,8,88,8,36.4311205027699,5,2
7653,27,14,1-27-2017-014-04,4,1,1,1,1,1,88,8,88,8,492.444172408057,3,2
7658,19,85,1-19-2017-085-08,8,1,1,1,1,1,88,8,88,8,521.301323210648,9,2
7655,14,40,1-14-2017-040-08,8,2,1,1,1,1,88,8,88,8,1502.31800595479,8,2
7690,18,41,1-18-2017-041-07,7,1,1,1,1,1,88,8,88,8,661.115200524445,6,2
7692,24,80,1-24-2017-080-04,4,1,1,1,1,1,88,8,88,8,1096.66245862411,1,2
7692,24,80,1-24-2017-080-04,4,2,1,1,1,1,88,8,88,8,1096.66245862411,1,2
7691,25,23,1-25-2017-023-04,4,2,1,1,1,1,88,8,88,8,1092.08885834505,2,2
7909,15,67,1-15-2017-067-02,2,1,1,1,1,1,88,8,88,8,24.2866475873863,1,2
7909,15,67,1-15-2017-067-02,2,2,1,1,1,1,88,8,88,8,24.2866475873863,1,2
7910,15,68,1-15-2017-068-03,3,1,1,1,1,1,88,8,88,8,311.619179971165,1,2
7910,15,68,1-15-2017-068-03,3,2,1,1,1,1,88,8,88,8,311.619179971165,1,2
7889,25,32,1-25-2017-032-09,9,1,1,1,1,1,88,8,88,8,5634.41491830275,2,2
7888,10,39,1-10-2017-039-02,2,1,1,1,1,1,88,8,88,8,46.3428822044919,4,2
7888,10,39,1-10-2017-039-02,2,2,1,1,1,1,88,8,88,8,46.3428822044919,4,2
7917,32,100,1-32-2017-100-06,6,1,1,1,1,1,88,8,88,8,1559.46989103299,7,2
7882,26,51,1-26-2017-051-07,7,1,1,1,1,1,88,8,88,8,9163.71036248197,10,2
7920,32,101,1-32-2017-101-09,9,1,1,1,1,1,88,8,88,8,4628.57733316537,7,2
7920,32,101,1-32-2017-101-09,9,2,1,1,1,1,88,8,88,8,4628.57733316537,7,2
7920,32,101,1-32-2017-101-09,9,3,1,1,1,1,88,8,88,8,4628.57733316537,7,2
7895,21,53,1-21-2017-053-03,3,2,1,1,1,1,88,8,88,8,345.739300358192,11,2
7929,24,96,1-24-2017-096-03,3,1,1,1,1,1,88,8,88,8,286.298646550666,1,2
7929,24,96,1-24-2017-096-03,3,2,1,1,1,1,88,8,88,8,286.298646550666,1,2
7928,24,95,1-24-2017-095-06,6,1,1,1,1,1,88,8,88,8,555.277496718717,1,2
7928,24,95,1-24-2017-095-06,6,2,1,1,1,1,88,8,88,8,555.277496718717,1,2
7930,24,97,1-24-2017-097-07,7,2,1,1,1,1,88,8,88,8,1038.48815324599,1,2
7935,32,104,1-32-2017-104-02,2,1,1,1,1,1,88,8,88,8,51.1942379043826,7,2
7864,30,75,1-30-2017-075-02,2,2,1,1,1,1,88,8,88,8,38.2350551087835,10,2
7828,25,31,1-25-2017-031-06,6,2,1,1,1,1,88,8,88,8,1031.34155427176,2,2
7866,17,61,1-17-2017-061-04,4,1,1,1,1,1,88,8,88,8,666.198146929734,4,2
7866,17,61,1-17-2017-061-04,4,2,1,1,1,1,88,8,88,8,666.198146929734,4,2
7860,20,100,1-20-2017-100-03,3,1,1,1,1,1,88,8,88,8,97.2396709817288,11,2
7860,20,100,1-20-2017-100-03,3,2,1,1,1,1,88,8,88,8,97.2396709817288,11,2
7863,20,101,1-20-2017-101-06,6,1,1,1,1,1,88,8,88,8,188.596773801498,11,2
7863,20,101,1-20-2017-101-06,6,2,1,1,1,1,88,8,88,8,188.596773801498,11,2
7810,28,46,1-28-2017-046-01,1,1,1,1,1,1,88,8,88,8,128.059818917926,3,2
7868,12,46,1-12-2017-046-03,3,1,1,1,1,1,88,8,88,8,438.997239334729,9,2
7868,12,46,1-12-2017-046-03,3,2,1,1,1,1,88,8,88,8,438.997239334729,9,2
7867,20,102,1-20-2017-102-03,3,1,1,1,1,1,88,8,88,8,97.2396709817288,11,2
7826,10,38,1-10-2017-038-07,7,1,1,1,1,1,88,8,88,8,319.930666475535,4,2
7869,23,86,1-23-2017-086-03,3,1,1,1,1,1,88,8,88,8,619.459940139626,5,2
7869,23,86,1-23-2017-086-03,3,2,1,1,1,1,88,8,88,8,619.459940139626,5,2
7874,12,47,1-12-2017-047-09,9,1,1,1,1,1,88,8,88,8,2454.35239269099,9,2
7872,24,92,1-24-2017-092-10,10,1,1,1,1,1,88,8,88,8,5907.93595895522,1,2
7873,24,93,1-24-2017-093-07,7,1,1,1,1,1,88,8,88,8,1069.92178748759,1,2
7876,32,98,1-32-2017-098-07,7,1,1,1,1,1,88,8,88,8,2914.99528309658,7,2
7876,32,98,1-32-2017-098-07,7,2,1,1,1,1,88,8,88,8,2914.99528309658,7,2
7879,16,63,1-16-2017-063-04,4,1,1,1,1,1,88,8,88,8,975.915502350418,5,2
7883,19,95,1-19-2017-095-02,2,1,1,1,1,1,88,8,88,8,134.564538478842,9,2
7879,16,63,1-16-2017-063-04,4,2,1,1,1,1,88,8,88,8,975.915502350418,5,2
7883,19,95,1-19-2017-095-02,2,2,1,1,1,1,88,8,88,8,134.564538478842,9,2
7884,19,96,1-19-2017-096-02,2,1,1,1,1,1,88,8,88,8,193.462398169656,9,2
7885,19,97,1-19-2017-097-01,1,1,1,1,1,1,88,8,88,8,401.34587739812,9,2
7891,16,64,1-16-2017-064-04,4,1,1,1,1,1,88,8,88,8,975.915502350418,5,2
7891,16,64,1-16-2017-064-04,4,2,1,1,1,1,88,8,88,8,975.915502350418,5,2
7890,27,19,1-27-2017-019-04,4,1,1,1,1,1,88,8,88,8,428.905808542371,3,2
7890,27,19,1-27-2017-019-04,4,2,1,1,1,1,88,8,88,8,428.905808542371,3,2
7894,17,64,1-17-2017-064-07,7,1,1,1,1,1,88,8,88,8,517.840409113973,4,2
7892,17,62,1-17-2017-062-06,6,1,1,1,1,1,88,8,88,8,254.335237373771,4,2
7886,14,46,1-14-2017-046-02,2,1,1,1,1,1,88,8,88,8,300.389675968169,8,2
7886,14,46,1-14-2017-046-02,2,2,1,1,1,1,88,8,88,8,300.389675968169,8,2
7824,27,18,1-27-2017-018-06,6,2,1,1,1,1,88,8,88,8,284.097564862844,3,2
7824,27,18,1-27-2017-018-06,6,3,1,1,1,1,88,8,88,8,284.097564862844,3,2
7835,17,60,1-17-2017-060-06,6,1,1,1,1,1,88,8,88,8,368.158144852616,4,2
7835,17,60,1-17-2017-060-06,6,2,1,1,1,1,88,8,88,8,368.158144852616,4,2
7832,12,45,1-12-2017-045-09,9,1,1,1,1,1,88,8,88,8,3838.87221500274,9,2
7842,16,61,1-16-2017-061-03,3,1,1,1,1,1,88,8,88,8,758.408529433954,5,2
7842,16,61,1-16-2017-061-03,3,2,1,1,1,1,88,8,88,8,758.408529433954,5,2
7843,33,81,1-33-2017-081-08,8,1,1,1,1,1,88,8,88,8,103.236549053167,12,2
7829,14,44,1-14-2017-044-02,2,1,1,1,1,1,88,8,88,8,216.318125742932,8,2
7818,24,88,1-24-2017-088-09,9,1,1,1,1,1,88,8,88,8,3104.8070286023,1,2
7833,24,90,1-24-2017-090-05,5,2,1,1,1,1,88,8,88,8,99.0968081038514,1,2
7756,28,43,1-28-2017-043-08,8,1,1,1,1,1,88,8,88,8,124.87171752246,3,2
7811,23,83,1-23-2017-083-09,9,1,1,1,1,1,88,8,88,8,491.083344288599,5,2
7812,23,84,1-23-2017-084-07,7,2,1,1,1,1,88,8,88,8,309.275513655422,5,2
7812,23,84,1-23-2017-084-07,7,3,1,1,1,1,88,8,88,8,309.275513655422,5,2
7700,24,82,1-24-2017-082-10,10,1,1,1,1,1,88,8,88,8,3542.08453945439,1,2
7704,27,15,1-27-2017-015-07,7,1,1,1,1,1,88,8,88,8,1229.96510879046,3,2
7704,27,15,1-27-2017-015-07,7,2,1,1,1,1,88,8,88,8,1229.96510879046,3,2
7696,23,76,1-23-2017-076-06,6,1,1,1,1,1,88,8,88,8,544.433081611749,5,2
7696,23,76,1-23-2017-076-06,6,2,1,1,1,1,88,8,88,8,544.433081611749,5,2
7706,32,87,1-32-2017-087-03,3,1,1,1,1,1,88,8,88,8,1044.02554058548,7,2
7698,23,78,1-23-2017-078-01,1,1,1,1,1,1,88,8,88,8,90.8798878633592,5,2
7703,10,36,1-10-2017-036-08,8,1,1,1,1,1,88,8,88,8,120.865319356911,4,2
7707,32,88,1-32-2017-088-09,9,1,1,1,1,1,88,8,88,8,6009.97176670874,7,2
7712,25,25,1-25-2017-025-06,6,1,1,1,1,1,88,8,88,8,781.463764732178,2,2
7701,24,83,1-24-2017-083-07,7,1,1,1,1,1,88,8,88,8,641.468263747083,1,2
7701,24,83,1-24-2017-083-07,7,2,1,1,1,1,88,8,88,8,641.468263747083,1,2
7701,24,83,1-24-2017-083-07,7,3,1,1,1,1,88,8,88,8,641.468263747083,1,2
7710,24,84,1-24-2017-084-03,3,1,1,1,1,1,88,8,88,8,176.84505609542,1,2
7710,24,84,1-24-2017-084-03,3,2,1,1,1,1,88,8,88,8,176.84505609542,1,2
7710,24,84,1-24-2017-084-03,3,3,1,1,1,1,88,8,88,8,176.84505609542,1,2
7716,17,55,1-17-2017-055-05,5,1,1,1,1,1,88,8,88,8,105.502519959973,4,2
7711,25,24,1-25-2017-024-01,1,1,1,1,1,1,88,8,88,8,94.6973868464172,2,2
7712,25,25,1-25-2017-025-06,6,2,1,1,1,1,88,8,88,8,781.463764732178,2,2
7714,14,41,1-14-2017-041-06,6,1,1,1,1,1,88,8,88,8,4768.01422503003,8,2
7714,14,41,1-14-2017-041-06,6,2,1,1,1,1,88,8,88,8,4768.01422503003,8,2
7731,16,60,1-16-2017-060-08,8,1,1,1,1,1,88,8,88,8,975.905712381978,5,2
7717,19,88,1-19-2017-088-03,3,1,1,1,1,1,88,8,88,8,203.968596534329,9,2
7715,14,42,1-14-2017-042-02,2,1,1,1,1,1,88,8,88,8,216.318125742932,8,2
7717,19,88,1-19-2017-088-03,3,2,1,1,1,1,88,8,88,8,203.968596534329,9,2
7724,18,43,1-18-2017-043-06,6,2,1,1,1,1,88,8,88,8,580.561244807344,6,2
7725,21,45,1-21-2017-045-09,9,1,1,1,1,1,88,8,88,8,790.468432856525,11,2
7725,21,45,1-21-2017-045-09,9,2,1,1,1,1,88,8,88,8,790.468432856525,11,2
7738,22,84,1-22-2017-084-04,4,1,1,1,1,1,88,8,88,8,209.46660211457,12,2
7715,14,42,1-14-2017-042-02,2,2,1,1,1,1,88,8,88,8,216.318125742932,8,2
7735,20,93,1-20-2017-093-06,6,1,1,1,1,1,88,8,88,8,773.414930424659,11,2
7726,21,46,1-21-2017-046-06,6,1,1,1,1,1,88,8,88,8,258.739772672401,11,2
