CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
15663,22,90,1-22-2019-090-10,10,1,10,22176.1474139505,12,4
15666,18,67,1-18-2019-067-04,4,1,3,573.923956825155,6,4
15710,26,150,1-26-2019-150-05,5,1,10,79.0935629084873,10,4
15711,26,151,1-26-2019-151-02,2,1,10,32.9547117802057,10,4
15683,52,81,1-52-2019-081-06,6,1,1,106.916719269113,12,4
15768,19,80,1-19-2019-080-01,1,1,1,111.78505585159,9,4
15432,48,63,1-48-2019-063-07,7,1,1,876.224951009777,12,4
14378,77,75,1-77-2019-075-02,2,1,9,82.9547267506105,9,4
15749,59,59,1-59-2019-059-02,2,1,10,149.432098627115,6,4
15465,17,131,1-17-2019-131-08,8,1,2,197.59154416162,4,4
15466,18,62,1-18-2019-062-09,9,1,99,1347.76297338734,6,4
13747,22,48,1-22-2019-048-09,9,1,2,126.849090115481,12,4
13749,22,50,1-22-2019-050-03,3,1,3,49.798219346877,12,4
13753,26,54,1-26-2019-054-06,6,1,10,1602.41862071963,10,4
15785,33,98,1-33-2019-098-09,9,1,6,318.480153533642,12,4
15792,23,40,1-23-2019-040-02,2,2,1,104.144208809518,5,4
15794,30,107,1-30-2019-107-06,6,1,2,1316.79552027721,10,4
15519,26,140,1-26-2019-140-02,2,1,1,20.8303923623141,10,4
15520,26,141,1-26-2019-141-04,4,1,10,1390.66561530161,10,4
15772,26,152,1-26-2019-152-03,3,1,10,4969.4908474557,10,4
15591,15,77,1-15-2019-077-05,5,1,99,40.3837301439133,1,4
15840,19,82,1-19-2019-082-04,4,1,3,470.847173316791,9,4
15842,22,93,1-22-2019-093-07,7,1,10,664.913906050684,12,4
14374,11,76,1-11-2019-076-02,2,1,8,113.911411401903,8,4
15800,33,99,1-33-2019-099-07,7,1,7,383.368303653315,12,4
15815,52,86,1-52-2019-086-09,9,1,2,281.222680715067,12,4
15817,32,151,1-32-2019-151-02,2,1,1,78.8088027231302,7,4
15644,19,77,1-19-2019-077-08,8,1,9,602.82633370433,9,4
15830,14,68,1-14-2019-068-02,2,1,99,179.899820133386,8,4
15856,77,143,1-77-2019-143-10,10,1,3,7218.51203778615,9,4
15860,76,66,1-76-2019-066-06,6,1,1,66.9780926123769,3,4
15881,14,69,1-14-2019-069-09,9,1,7,4085.93010355525,8,4
15588,26,142,1-26-2019-142-03,3,1,3,461.272841275002,10,4
15888,29,149,1-29-2019-149-08,8,1,1,150.214493970894,2,4
15889,10,83,1-10-2019-083-01,1,1,9,23.0769668553423,4,4
15892,76,68,1-76-2019-068-03,3,1,1,27.9972501548832,3,4
15904,18,72,1-18-2019-072-04,4,1,7,1279.01746756077,6,4
15908,77,144,1-77-2019-144-02,2,1,9,82.9547267506105,9,4
15910,77,146,1-77-2019-146-02,2,1,1,82.9547267506105,9,4
13852,77,54,1-77-2019-054-02,2,1,1,82.9547267506105,9,4
13853,77,55,1-77-2019-055-05,5,1,10,206.097849326362,9,4
13854,24,57,1-24-2019-057-05,5,1,10,55.6842152567693,1,4
15692,23,39,1-23-2019-039-04,4,2,6,2051.3657077675,5,4
14308,27,42,1-27-2019-042-09,9,2,1,404.594480283885,3,4
14311,59,50,1-59-2019-050-08,8,1,9,124.193457563235,6,4
14807,21,89,1-21-2019-089-03,3,1,99,210.821760797247,11,4
14663,26,102,1-26-2019-102-03,3,1,9,403.383010747684,10,4
15559,16,88,1-16-2019-088-03,3,1,10,261.070788767185,5,4
16104,27,79,1-27-2019-079-04,4,2,6,73.3831587858916,3,4
16105,66,79,1-66-2019-079-07,7,2,1,136.340100630904,6,4
15899,17,151,1-17-2019-151-06,6,1,7,198.405254803514,4,4
15900,12,80,1-12-2019-080-03,3,1,3,405.467072433129,9,4
16045,28,75,1-28-2019-075-09,9,1,10,70.9403614756684,3,4
15976,26,158,1-26-2019-158-04,4,1,10,3170.59251481056,10,4
13776,30,53,1-30-2019-053-04,4,1,3,501.244378125827,10,4
14478,33,69,1-33-2019-069-03,3,1,9,71.5135197479547,12,4
14478,33,69,1-33-2019-069-03,3,1,6,71.5135197479547,12,4
14481,22,64,1-22-2019-064-07,7,1,7,37.4524942326431,12,4
14847,10,43,1-10-2019-043-01,1,1,9,23.0769668553423,4,4
14850,16,62,1-16-2019-062-04,4,1,9,1022.24924719332,5,4
14814,52,49,1-52-2019-049-09,9,1,9,193.192332754005,12,4
14816,24,99,1-24-2019-099-08,8,1,1,224.429176298061,1,4
14817,25,60,1-25-2019-060-09,9,1,1,604.384771197339,2,4
14586,31,52,1-31-2019-052-10,10,1,99,903.63656551844,6,4
14877,26,113,1-26-2019-113-09,9,1,3,1988.68709024503,10,4
14833,77,102,1-77-2019-102-06,6,1,9,1039.03588385841,9,4
14834,52,50,1-52-2019-050-09,9,1,9,475.27869405521,12,4
14836,12,57,1-12-2019-057-10,10,1,10,22176.1474139505,9,4
14841,14,48,1-14-2019-048-07,7,1,3,10276.4380082054,8,4
14915,16,64,1-16-2019-064-03,3,3,1,838.27758367583,5,4
14601,33,73,1-33-2019-073-08,8,1,3,106.302249880201,12,4
14603,18,44,1-18-2019-044-07,7,1,7,1492.15391593265,6,4
14604,22,66,1-22-2019-066-04,4,1,10,87.2061823048744,12,4
14859,15,62,1-15-2019-062-04,4,1,1,536.065033784634,1,4
14989,16,67,1-16-2019-067-04,4,1,7,722.360931446831,5,4
14907,10,46,1-10-2019-046-06,6,1,1,77.4989305864139,4,4
14924,31,58,1-31-2019-058-09,9,1,3,778.765418535634,6,4
14946,17,108,1-17-2019-108-09,9,1,8,684.477134854476,4,4
14952,22,76,1-22-2019-076-05,5,1,1,60.8075899555347,12,4
14955,21,95,1-21-2019-095-02,2,1,7,32.7360487870005,11,4
14959,27,57,1-27-2019-057-10,10,1,99,1035.68697714168,3,4
14508,77,83,1-77-2019-083-04,4,1,9,1078.05257470961,9,4
