CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
12476,20,1,1-20-2019-001-09,9,1,2,7,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,138.068676004783,11,4
12476,20,1,1-20-2019-001-09,9,1,3,3,1,99,7,0,60,60,60,60,,,,,,,,,,,,,138.068676004783,11,4
12476,20,1,1-20-2019-001-09,9,1,4,7,1,99,7,0,60,60,60,60,,,,,,,,,,,,,138.068676004783,11,4
12476,20,1,1-20-2019-001-09,9,1,5,98,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,138.068676004783,11,4
12476,20,1,1-20-2019-001-09,9,1,6,98,1,99,7,0,60,60,60,60,,,,,,,,,,,,,138.068676004783,11,4
12477,30,2,1-30-2019-002-04,4,1,1,1,1,99,1,0,1,0,0,50,9,9,1,13,-10,-9,9641,998,10,0,1,1,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,4,2,1,99,1,0,1,0,0,50,9,9,1,13,-10,-9,9641,998,10,0,1,1,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,1,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,1,1,1,1,1,0,1,0,97,97,1,1,1,13,-12,5,28614,998,15,0,1,1,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,2,4,1,1,1,0,1,0,0,50,1,1,1,13,-12,5,28614,998,15,0,1,1,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,3,8,1,1,1,0,1,0,97,97,1,1,99,,,,,,,,,99,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,5,8,1,1,1,0,1,0,97,97,,,,,,,,,,,,,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,6,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,315.64493614952,10,4
12477,30,2,1-30-2019-002-04,4,2,7,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,315.64493614952,10,4
12479,29,2,1-29-2019-002-06,6,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,2,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,4,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,7,3,1,1,7,0,60,60,60,60,,,,,,,,,,,,,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,1,8,4,1,1,7,0,60,60,60,60,,,,,,,,,,,,,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,2,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,4,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,5,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,7,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,8,2,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,206.157258091837,2,4
12488,11,3,1-11-2019-003-07,7,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,4,3,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,5501.90113032407,8,4
12491,24,2,1-24-2019-002-04,4,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,4,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,5,4,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,6,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,7,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,8,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,9,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,1,10,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,2281.57338463435,1,4
12493,77,2,1-77-2019-002-04,4,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,2,98,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,4,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,6,98,1,99,7,0,60,60,60,60,,,,,,,,,,,,,3480.14600733742,9,4
12493,77,2,1-77-2019-002-04,4,1,7,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,3480.14600733742,9,4
12495,28,1,1-28-2019-001-07,7,1,1,1,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,2,8,1,99,1,0,1,0,0,50,8,9,99,,,,,,,,,99,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,3,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,5,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,6,5,1,99,1,0,1,0,0,50,8,9,99,,,,,,,,,99,188.933692908723,3,4
12496,32,3,1-32-2019-003-06,6,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,1,2,3,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,2,3,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,3,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,4,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,5,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,1,1,1,99,1,0,1,0,0,50,9,9,3,10,-10,-2,12999,998,13,0,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,2,4,1,99,1,0,1,0,0,50,9,9,3,10,-10,-2,12999,998,13,0,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,4,2,1,99,1,0,1,0,0,50,9,9,3,10,-10,-2,12999,998,13,0,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,5,4,1,99,1,0,1,0,0,50,9,9,3,10,-10,-2,12999,998,13,0,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,6,8,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,999,7,2,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,7,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,8,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,4,1,1,1,1,1,0,1,0,0,50,1,1,4,19,-19,-3,23210,998,19,0,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,4,2,2,1,1,1,0,1,0,0,50,,,,,,,,,,,,,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,4,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,4,4,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,6526.06701852629,7,4
