CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
15285,24,121,1-24-2019-121-02,2,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,109,887,887,50,887,887,887,887,113,887,34,80,887,887,101.430695438973,1,4
15285,24,121,1-24-2019-121-02,2,2,887,887,887,887,887,887,887,887,887,887,45,45,887,887,130,887,887,887,887,887,887,887,887,887,887,887,887,887,101.430695438973,1,4
15284,24,120,1-24-2019-120-07,7,1,887,887,887,887,887,887,887,273,887,887,28,35,887,887,109,887,887,887,887,887,12,24,887,887,887,887,887,887,2903.35318920466,1,4
15283,24,119,1-24-2019-119-08,8,2,887,887,271,887,887,887,887,270,887,887,17,39,887,887,119,887,887,887,887,887,999,999,999,887,887,887,887,887,479.247775178189,1,4
15278,77,115,1-77-2019-115-02,2,1,887,887,887,887,887,887,887,887,887,887,30,887,887,887,127,887,887,50,887,887,10,20,112,4,35,83,887,887,91.4212064025226,9,4
15280,77,117,1-77-2019-117-06,6,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,3222.47576243632,9,4
15289,48,60,1-48-2019-060-07,7,1,887,887,275,887,887,887,887,887,887,887,999,887,887,887,122,887,887,59,887,887,10,19,110,887,887,887,887,887,672.513684954277,12,4
15287,73,72,1-73-2019-072-06,6,1,887,887,270,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,8,20,114,887,887,887,887,887,35.0393284416094,3,4
15287,73,72,1-73-2019-072-06,6,2,887,887,887,887,887,887,887,372,887,887,999,887,887,887,136,55,887,887,887,887,7,16,132,887,887,887,887,887,35.0393284416094,3,4
15297,28,58,1-28-2019-058-09,9,1,887,887,887,887,887,887,887,887,887,887,33,44,887,887,119,887,887,46,887,887,887,887,109,887,40,71,887,887,131.66969006346,3,4
15298,28,59,1-28-2019-059-08,8,1,887,887,887,887,887,887,887,887,887,887,41,887,887,887,147,887,887,63,887,887,14,28,126,6,32,74,887,887,57.2537276409718,3,4
15290,48,61,1-48-2019-061-07,7,1,887,887,887,887,887,887,887,887,887,887,40,887,887,887,102,887,887,887,887,219,887,887,140,887,47,88,887,887,672.513684954277,12,4
15292,16,77,1-16-2019-077-09,9,1,887,887,887,887,887,887,887,887,887,887,40,887,887,887,118,887,887,887,887,887,887,887,887,887,887,887,887,887,980.186639548496,5,4
15296,32,129,1-32-2019-129-06,6,1,887,887,887,887,887,887,887,887,887,887,46,54,887,887,99,887,887,51,887,887,887,887,103,887,33,80,887,887,1443.19684810543,7,4
15291,16,76,1-16-2019-076-02,2,1,887,887,887,887,887,887,887,887,887,887,43,887,887,887,133,887,887,887,887,887,887,887,887,887,887,887,887,196,19.5600329236722,5,4
15301,14,57,1-14-2019-057-03,3,1,887,887,887,887,887,887,887,887,887,887,35,887,887,887,105,887,887,887,887,887,887,887,887,887,887,887,887,887,2517.54988436488,8,4
15299,52,65,1-52-2019-065-06,6,1,887,887,234,887,887,887,887,242,887,887,54,887,887,887,150,887,887,887,887,887,5,4,142,999,41,78,887,887,117.145444967732,12,4
15291,16,76,1-16-2019-076-02,2,2,887,887,887,887,887,887,887,887,887,887,53,887,887,887,102,887,887,887,887,887,887,887,887,887,887,887,887,887,19.5600329236722,5,4
15300,52,66,1-52-2019-066-03,3,1,887,887,278,887,887,887,887,284,887,887,887,34,887,887,887,887,887,887,887,887,8,14,117,887,887,887,887,887,81.5496209242555,12,4
15301,14,57,1-14-2019-057-03,3,2,887,887,285,887,887,887,887,887,887,887,887,45,887,887,153,887,887,63,62,887,19,14,115,11,26,48,887,887,2517.54988436488,8,4
15304,66,64,1-66-2019-064-09,9,1,887,887,887,887,887,887,887,887,887,887,35,887,887,887,129,887,887,76,887,887,887,887,120,887,37,74,887,887,1010.92116366829,6,4
15300,52,66,1-52-2019-066-03,3,2,887,887,285,887,887,887,887,284,887,887,50,887,887,887,122,887,887,887,887,167,9,16,117,887,38,93,887,887,81.5496209242555,12,4
15305,66,65,1-66-2019-065-01,1,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,95,887,887,887,887,175,5,27,136,8,52,82,887,887,153.515868165854,6,4
15293,16,78,1-16-2019-078-09,9,1,887,887,887,887,887,887,887,887,887,887,60,58,887,887,132,887,887,887,887,887,887,887,109,887,47,78,273,887,980.186639891733,5,4
15293,16,78,1-16-2019-078-09,9,2,887,887,318,887,887,887,887,887,887,887,887,887,887,887,131,887,887,887,887,887,5,13,124,887,47,77,161,887,980.186639891733,5,4
15294,32,127,1-32-2019-127-01,1,1,887,887,887,887,887,887,887,328,887,887,50,887,887,887,137,887,887,887,887,887,10,9,137,887,887,887,290,166,91.530410371053,7,4
15294,32,127,1-32-2019-127-01,1,2,887,887,270,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,14,14,120,9,44,82,202,182,91.530410371053,7,4
15303,10,59,1-10-2019-059-06,6,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,126,887,887,887,887,887,887,887,887,887,887,887,887,887,75.3431708457714,4,4
15303,10,59,1-10-2019-059-06,6,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,887,887,887,887,887,887,887,887,887,887,75.3431708457714,4,4
15308,12,68,1-12-2019-068-05,5,1,887,887,887,887,887,887,887,237,887,887,887,39,887,887,116,887,887,53,42,887,18,21,118,887,31,77,887,887,330.370128596484,9,4
15308,12,68,1-12-2019-068-05,5,2,887,887,887,887,887,887,887,887,887,887,40,887,887,887,116,41,76,887,887,203,20,14,119,887,887,887,887,887,330.370128596484,9,4
15302,10,58,1-10-2019-058-06,6,2,887,887,887,887,887,887,887,887,887,887,887,38,887,887,116,887,887,55,887,887,887,887,887,887,887,887,887,887,75.3431708280919,4,4
15306,25,69,1-25-2019-069-09,9,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,105,887,887,887,887,140,887,887,102,887,36,82,887,887,2065.80823190688,2,4
15279,77,116,1-77-2019-116-02,2,2,887,887,887,887,887,887,887,887,887,887,45,887,887,887,117,887,887,887,887,127,10,17,105,4,36,85,887,887,91.4212064025226,9,4
15309,23,33,1-23-2019-033-06,6,1,90,70,310,90,110,90,70,310,90,110,887,887,161,162,136,887,887,71,887,887,13,22,117,887,34,84,887,887,3519.08057087551,5,4
