CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
13560,24,47,1-24-2019-047-06,6,1,2745,1339,1407,P235/60R16,250,P235/60R16,250,,,,,,,,,560.865159779105,1,4
13559,24,46,1-24-2019-046-03,3,1,2106,1075,1034,P225/55R19,240,P225/55R19,240,,,,,,,,,421.058393059335,1,4
13559,24,46,1-24-2019-046-03,3,2,2070,1055,1035,P225/65R17,230,P225/65R17,230,,,,,,,,,421.058393059335,1,4
13558,24,45,1-24-2019-045-03,3,1,2400,1350,1395,P235/55R19,230,P235/55R19,230,,,,,,,,,421.058393021907,1,4
13558,24,45,1-24-2019-045-03,3,2,1695,900,810,P215/55R16,220,P215/55R16,220,,,,,,,,,421.058393021907,1,4
13561,11,42,1-11-2019-042-10,10,1,2903,1429,1672,P235/75R16,240,P235/75R16,240,,,,,,,,,22176.1474139505,8,4
13563,77,41,1-77-2019-041-06,6,1,1742,948,839,P205/55R16,220,P205/55R16,220,,,,,,,,,190.696903819126,9,4
13563,77,41,1-77-2019-041-06,6,2,1950,1060,915,P215/60R16,210,P215/60R16,210,,,,,,,,,190.696903819126,9,4
13561,11,42,1-11-2019-042-10,10,2,2427,1270,1225,P235/70R15,220,P235/70R15,220,,,,,,,,,22176.1474139505,8,4
13562,77,40,1-77-2019-040-10,10,1,1685,895,791,P195/60R15,220,P195/60R15,220,,,,,,,,,3022.54725359405,9,4
13562,77,40,1-77-2019-040-10,10,2,2410,1175,1320,P235/60R16,221,P235/60R16,269,,,,,,,,,3022.54725359405,9,4
13564,77,42,1-77-2019-042-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,483.098263990044,9,4
13564,77,42,1-77-2019-042-09,9,2,2449,1202,1361,P225/75R15,179,P225/75R15,200,,,,,,,,,483.098263990044,9,4
13565,28,20,1-28-2019-020-06,6,1,1890,1010,910,P215/55R17,240,P215/55R17,240,,,,,,,,,75.915655932847,3,4
13566,73,24,1-73-2019-024-04,4,1,2050,1055,1015,P215/70R16,220,P215/70R16,220,,,,,,,,,97.8096386494261,3,4
13567,48,23,1-48-2019-023-06,6,1,2140,1116,1024,P235/50R17,240,P235/50R17,240,,,,,,,,,360.524979063225,12,4
13567,48,23,1-48-2019-023-06,6,2,1760,980,970,P225/45R18,230,P225/45R18,230,,,,,,,,,360.524979063225,12,4
13579,16,25,1-16-2019-025-06,6,1,1810,972,880,P215/55R16,241,P215/55R16,241,,,,,,,,,1337.67061459615,5,4
13581,52,15,1-52-2019-015-07,7,1,2125,1056,1084,P205/55R16,240,P205/55R16,240,,,,,,,,,286.840034109685,12,4
13581,52,15,1-52-2019-015-07,7,2,3266,1724,1860,P275/55R20,220,P275/55R20,220,,,,,,,,,286.840034109685,12,4
13584,32,50,1-32-2019-050-07,7,1,1995,887,1108,P225/40R18,220,P255/35R18,240,,,,,,,,,4714.33710528873,7,4
13568,59,34,1-59-2019-034-08,8,1,9999,9999,9999,P215/65R17,210,P215/65R17,210,,,,,,,,,259.207699449181,6,4
13572,12,26,1-12-2019-026-04,4,2,2132,1180,1080,P215/65R17,240,P215/65R17,220,,,,,,,,,627.910950617529,9,4
13575,32,49,1-32-2019-049-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,4271.67553715728,7,4
13573,12,27,1-12-2019-027-10,10,1,3720,1701,2177,LT245/75R17,380,LT245/75R17,415,,,,,,,,,4146.9568587977,9,4
13577,14,23,1-14-2019-023-07,7,1,2440,1297,1157,P245/60R18,240,P245/60R18,240,,,,,,,,,2049.89233987656,8,4
13575,32,49,1-32-2019-049-09,9,2,2005,1096,909,9999999999,999,9999999999,999,,,,,,,,,4271.67553715728,7,4
13582,52,16,1-52-2019-016-03,3,1,2949,1452,1679,P245/70R17,230,P245/70R17,230,,,,,,,,,50.8788342615142,12,4
13583,76,20,1-76-2019-020-05,5,1,2087,1180,1007,P225/55R17,220,P225/55R17,220,,,,,,,,,29.2004368671738,3,4
13589,19,25,1-19-2019-025-07,7,1,3311,1497,1928,P275/55R20,250,P275/55R20,250,,,,,,,,,822.201506978278,9,4
13589,19,25,1-19-2019-025-07,7,2,1941,1017,993,P215/60R16,220,P215/60R16,220,,,,,,,,,822.201506978278,9,4
13592,31,26,1-31-2019-026-01,1,1,3221,1452,1860,P275/55R20,220,P275/55R20,220,,,,,,,,,348.926925004764,6,4
13592,31,26,1-31-2019-026-01,1,2,1950,1060,915,P215/60R16,210,P215/60R16,210,,,,,,,,,348.926925004764,6,4
13593,66,26,1-66-2019-026-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,131.308569897691,6,4
13593,66,26,1-66-2019-026-09,9,2,1810,972,880,P215/55R16,240,P215/55R16,240,,,,,,,,,131.308569897691,6,4
13593,66,26,1-66-2019-026-09,9,3,2087,1134,1225,P205/75R15,240,P205/75R15,240,,,,,,,,,131.308569897691,6,4
13593,66,26,1-66-2019-026-09,9,4,2812,1633,1672,P255/70R16,210,P255/70R16,240,,,,,,,,,131.308569897691,6,4
