CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
12660,25,4,1-25-2019-004-04,4,1,263,441,176,1480,152,88,89,152,4,2.4,2,3,0,1,897.053457960752,2,4
12659,12,7,1-12-2019-007-06,6,1,397,613,203,2728,174,95,119,999,8,6.4,2,3,0,0,419.106558043338,9,4
12654,31,4,1-31-2019-004-03,3,2,283,490,183,1470,158,98,109,142,4,2.5,2,1,0,0,227.270424528455,6,4
12659,12,7,1-12-2019-007-06,6,2,305,508,191,1929,161,92,110,160,8,5.7,2,2,0,0,419.106558043338,9,4
12642,14,3,1-14-2019-003-01,1,1,308,514,200,2050,166,96,111,170,6,3.6,2,1,0,1,404.045672436521,8,4
12642,14,3,1-14-2019-003-01,1,2,406,629,203,2938,173,97,126,180,8,6.7,2,3,0,1,404.045672436521,8,4
12662,29,9,1-29-2019-009-02,2,1,302,517,199,2197,171,102,113,180,6,3.6,2,4,0,0,18.22459945563,2,4
12662,29,9,1-29-2019-009-02,2,2,241,415,170,1265,148,74,82,160,4,2.0,2,4,0,1,18.22459945563,2,4
12673,22,6,1-22-2019-006-10,10,1,257,461,182,1375,152,102,102,154,6,3.8,2,2,0,1,1045.92996383781,12,4
12675,17,7,1-17-2019-007-06,6,1,278,485,199,2058,170,95,113,156,6,3.5,2,3,0,0,820.094010105936,4,4
12674,22,7,1-22-2019-007-06,6,1,271,480,186,1532,155,97,112,150,4,2.0,2,1,0,0,70.0611138941407,12,4
12670,33,5,1-33-2019-005-08,8,1,357,570,203,2719,173,102,111,177,6,5.9,2,3,0,1,93.1355264591519,12,4
12665,26,7,1-26-2019-007-02,2,1,365,571,202,2575,171,101,105,177,8,8.1,9,3,9,0,41.7668957553833,10,4
12666,16,3,1-16-2019-003-04,4,1,270,463,184,1610,160,93,100,154,4,2.5,2,4,0,0,1549.40490278009,5,4
12666,16,3,1-16-2019-003-04,4,2,308,514,200,2115,166,95,111,160,6,3.6,2,1,0,0,1549.40490278009,5,4
12674,22,7,1-22-2019-007-06,6,2,289,484,183,2010,155,83,112,144,6,4.0,2,4,0,0,70.0611138941407,12,4
12671,33,6,1-33-2019-006-03,3,1,270,455,184,1602,160,96,91,160,4,2.5,2,1,0,1,98.8585618311132,12,4
12665,26,7,1-26-2019-007-02,2,2,271,468,183,1445,157,98,99,152,4,2.4,9,1,0,0,41.7668957553833,10,4
12671,33,6,1-33-2019-006-03,3,2,260,433,176,1335,151,96,78,148,4,1.8,2,1,0,0,98.8585618311132,12,4
12671,33,6,1-33-2019-006-03,3,3,411,999,999,9999,999,999,999,999,8,6.7,2,2,9,1,98.8585618311132,12,4
12672,33,7,1-33-2019-007-03,3,1,265,442,183,1636,154,91,86,152,4,2.0,2,1,0,0,98.8585618311132,12,4
12672,33,7,1-33-2019-007-03,3,2,277,481,182,1523,158,96,108,999,6,3.5,9,1,9,0,98.8585618311132,12,4
12667,16,4,1-16-2019-004-05,5,1,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,47.3696627081722,5,4
12658,13,6,1-13-2019-006-04,4,1,263,441,176,1423,152,88,89,999,4,2.0,9,1,9,0,896.089254715631,7,4
12667,16,4,1-16-2019-004-05,5,2,270,464,178,1290,152,97,98,146,4,1.8,2,1,0,0,47.3696627081722,5,4
12677,30,7,1-30-2019-007-07,7,1,343,547,201,2690,169,88,116,999,8,5.7,9,2,9,0,650.364252223527,10,4
12677,30,7,1-30-2019-007-07,7,2,999,999,203,9999,173,100,999,999,8,5.3,9,2,9,0,650.364252223527,10,4
12677,30,7,1-30-2019-007-07,7,3,287,516,194,1822,168,103,126,999,6,3.5,9,1,9,0,650.364252223527,10,4
12678,30,8,1-30-2019-008-04,4,1,353,561,192,2007,165,100,108,999,8,7.3,9,2,9,0,434.053113575052,10,4
12669,15,7,1-15-2019-007-02,2,1,266,463,185,1755,158,99,98,999,4,2.0,2,4,0,0,26.7385076311537,1,4
12678,30,8,1-30-2019-008-04,4,2,272,478,192,1681,999,95,112,180,4,2.3,2,2,0,0,434.053113575052,10,4
12680,21,6,1-21-2019-006-09,9,1,282,501,185,1615,157,100,120,999,6,3.5,2,1,0,0,1277.64535343709,11,4
12682,21,8,1-21-2019-008-04,4,1,297,493,183,1702,999,77,119,999,6,4.9,9,9,9,0,1269.18053010584,11,4
12668,15,6,1-15-2019-006-02,2,1,267,463,178,1376,155,97,100,160,4,2.0,2,4,0,0,26.7385076311537,1,4
12682,21,8,1-21-2019-008-04,4,2,270,446,180,1286,156,93,84,153,6,2.5,2,2,0,0,1269.18053010584,11,4
12682,21,8,1-21-2019-008-04,4,3,320,522,185,1873,157,79,123,999,6,4.0,9,9,9,0,1269.18053010584,11,4
12681,21,7,1-21-2019-007-03,3,1,261,450,172,1265,148,88,100,999,4,2.0,9,1,9,0,362.350642586468,11,4
12681,21,7,1-21-2019-007-03,3,2,281,486,186,1630,159,97,109,160,4,2.4,2,1,0,0,362.350642586468,11,4
12663,29,10,1-29-2019-010-04,4,1,286,471,185,1823,160,90,95,160,4,2.4,2,4,0,0,1201.30966549489,2,4
12687,30,10,1-30-2019-010-03,3,1,375,999,207,2318,173,102,999,999,6,3.5,2,2,9,0,154.857042578154,10,4
