CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
12495,28,1,1-28-2019-001-07,7,1,6,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,7,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,8,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,9,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,10,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,11,0,8,188.933692908723,3,4
12495,28,1,1-28-2019-001-07,7,1,12,0,8,188.933692908723,3,4
12496,32,3,1-32-2019-003-06,6,2,1,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,2,1,9,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,3,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,4,1,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,5,1,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,6,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,7,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,8,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,9,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,10,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,11,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,12,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,1,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,2,1,9,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,3,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,4,1,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,5,1,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,6,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,7,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,8,1,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,9,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,10,1,2,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,11,0,8,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,3,12,1,2,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,2,1,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,2,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,3,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,4,1,9,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,5,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,6,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,7,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,8,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,9,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,10,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,11,0,8,6526.06701852629,7,4
12497,32,4,1-32-2019-004-07,7,2,12,0,8,6526.06701852629,7,4
12499,76,1,1-76-2019-001-06,6,1,1,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,2,1,9,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,3,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,4,1,1,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,5,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,6,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,7,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,8,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,9,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,10,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,11,0,8,49.4254425182419,3,4
12499,76,1,1-76-2019-001-06,6,1,12,0,8,49.4254425182419,3,4
12505,23,3,1-23-2019-003-03,3,1,1,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,2,9,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,3,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,4,9,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,5,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,6,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,7,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,8,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,9,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,10,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,11,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,1,12,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,1,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,2,1,1,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,3,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,4,1,1,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,5,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,6,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,7,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,8,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,9,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,10,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,11,0,8,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,12,0,8,145.584933403066,5,4
12506,23,4,1-23-2019-004-04,4,1,1,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,2,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,3,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,4,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,5,1,2,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,6,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,7,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,8,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,9,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,10,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,11,9,8,380.869037562636,5,4
12506,23,4,1-23-2019-004-04,4,1,12,9,8,380.869037562636,5,4
12509,25,1,1-25-2019-001-05,5,1,1,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,2,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,3,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,4,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,5,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,6,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,7,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,8,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,9,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,10,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,11,0,8,93.5553684959491,2,4
12509,25,1,1-25-2019-001-05,5,1,12,0,8,93.5553684959491,2,4
12510,54,1,1-54-2019-001-06,6,1,1,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,2,1,9,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,3,0,8,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,4,1,9,880.16844999361,9,4
12510,54,1,1-54-2019-001-06,6,1,5,1,2,880.16844999361,9,4
