CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
20858,32,20,1-32-2021-020-07,7,1,1,2,Most Recent Event,1,15741,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,8562.52098189279,7,6
20858,32,20,1-32-2021-020-07,7,1,1,1,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-9.6600,175.5000,997.0000,9997.0000,8562.52098189279,7,6
20936,32,23,1-32-2021-023-03,3,2,1,1,Event Record 1,1,4085,0,1,9997.0000,1,9997.0000,-6.4400,126.0000,14.4900,98.0000,502.762011453046,7,6
20976,32,26,1-32-2021-026-02,2,3,1,1,First Record,2,6293,0,1,9997.0000,1,9997.0000,-9.9820,70.0000,997.0000,9997.0000,22.8797794375151,7,6
21016,32,27,1-32-2021-027-02,2,1,1,1,Event Record 1,1,5379,0,1,9997.0000,1,9997.0000,-19.3200,200.0000,38.6400,224.0000,67.0917099247504,7,6
21016,32,27,1-32-2021-027-02,2,1,1,2,Event Record 2,3,5379,1,2,0.0400,1,9997.0000,-9.6600,108.0000,1.6100,20.0000,67.0917099247504,7,6
21017,32,28,1-32-2021-028-02,2,1,1,1,First Record,97,3840,0,1,9997.0000,1,9997.0000,-10.9480,130.0000,997.0000,9997.0000,67.0917099382771,7,6
21017,32,28,1-32-2021-028-02,2,1,1,2,Second Record,1,3903,0,1,9997.0000,1,9997.0000,-41.0550,230.0000,997.0000,9997.0000,67.0917099382771,7,6
20475,33,1,1-33-2021-001-10,10,1,1,2,1st Prior Event,97,999997,0,97,9997.0000,1,9997.0000,-10.7870,9997.0000,997.0000,9997.0000,27.8376456600101,12,6
20475,33,1,1-33-2021-001-10,10,1,1,1,Most Recent Event,1,999997,0,97,9997.0000,1,9997.0000,-16.9050,9997.0000,997.0000,9997.0000,27.8376456600101,12,6
20287,48,1,1-48-2021-001-05,5,2,1,1,First Record,1,9831,0,1,9997.0000,1,9997.0000,-36.1445,158.0000,-12.0428,112.0000,78.857409982963,12,6
20287,48,1,1-48-2021-001-05,5,2,1,2,Second Record,95,9831,1,2,0.1000,1,9997.0000,9.2092,300.0000,7.9051,300.0000,78.857409982963,12,6
20855,66,8,1-66-2021-008-04,4,1,1,1,Deployment,95,33417,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,725.918410413119,6,6
20609,48,5,1-48-2021-005-04,4,1,1,1,Event Record 1,1,10617,0,1,9997.0000,1,9997.0000,-17.7100,318.0000,-1.6100,146.0000,127.89990484681,12,6
20609,48,5,1-48-2021-005-04,4,1,1,2,Event Record 2,95,10617,0,2,0.0600,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,127.89990484681,12,6
20602,48,6,1-48-2021-006-03,3,2,1,1,First Record,1,7708,0,1,0.0000,1,9997.0000,-56.9779,287.0000,997.0000,9997.0000,84.1490119370097,12,6
20687,48,7,1-48-2021-007-03,3,1,1,1,Deployment,1,18540,0,97,0.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,151.391836887882,12,6
20767,48,10,1-48-2021-010-03,3,2,1,1,Record 1,1,1694,0,1,9997.0000,1,98.0000,-4.0250,168.0000,4.9910,58.0000,118.597247063654,12,6
20840,48,11,1-48-2021-011-05,5,1,1,1,Event 1,1,20844,0,1,9997.0000,1,160.0000,-17.7100,160.0000,-11.2700,160.0000,77.0323095151438,12,6
20840,48,11,1-48-2021-011-05,5,2,1,1,Non-Deployment,1,24221,0,97,9997.0000,1,100.0000,-4.7173,100.0000,997.0000,9997.0000,77.0323095151438,12,6
24052,17,94,1-17-2021-094-03,3,2,1,2,1st Prior Event,97,999997,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,153.394823890928,4,6
24052,17,94,1-17-2021-094-03,3,2,1,3,2nd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,3.7030,9997.0000,997.0000,9997.0000,153.394823890928,4,6
22259,18,48,1-18-2021-048-03,3,1,1,1,First Record,1,1382,0,1,0.0000,1,9997.0000,-10.0303,300.0000,997.0000,9997.0000,271.972288032001,6,6
24067,17,95,1-17-2021-095-03,3,1,1,1,Non-Deployment,1,22920,0,97,9997.0000,1,120.0000,20.4148,120.0000,997.0000,120.0000,235.978395572392,4,6
24067,17,95,1-17-2021-095-03,3,2,1,1,Event Record 1,1,10319,0,1,9997.0000,1,9997.0000,-22.5400,150.0000,-9.6600,88.0000,235.978395572392,4,6
24221,17,99,1-17-2021-099-03,3,1,1,1,First Record,1,14058,0,1,9997.0000,1,9997.0000,-15.2500,148.0000,-0.8500,268.0000,288.613834187848,4,6
22516,18,51,1-18-2021-051-04,4,2,1,1,Most Recent Event,1,685,0,1,9995.0000,1,9997.0000,33.0050,144.0000,-1.9320,150.0000,1071.07823146935,6,6
22769,18,59,1-18-2021-059-05,5,1,1,1,Event Record 1,1,12749,0,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,59.2757632022085,6,6
24221,17,99,1-17-2021-099-03,3,2,1,1,Most Recent Event,1,6367,0,97,9997.0000,7,9997.0000,15.1340,125.5000,997.0000,9997.0000,288.613834187848,4,6
24406,17,102,1-17-2021-102-04,4,1,1,1,Event Record 1,1,6593,0,1,9997.0000,1,9997.0000,-11.2700,132.0000,-14.4900,100.0000,59.5314826828554,4,6
24373,28,101,1-28-2021-101-04,4,1,1,1,Event Record 1,2,6408,0,1,0.0000,1,9997.0000,-3.2200,287.5000,-4.8300,285.0000,39.3854945609915,3,6
24373,28,101,1-28-2021-101-04,4,1,1,2,Event Record 2,1,6408,1,2,3.6000,1,9997.0000,-3.2200,102.5000,-9.6600,192.5000,39.3854945609915,3,6
23042,18,68,1-18-2021-068-03,3,1,1,1,Event Record 1,1,8897,0,1,9997.0000,1,9997.0000,-22.5400,188.0000,17.7100,158.0000,180.882660602311,6,6
23042,18,68,1-18-2021-068-03,3,1,1,2,Event Record 2,2,8897,0,2,0.5700,1,9997.0000,-6.4400,290.0000,-25.7600,290.0000,180.882660602311,6,6
20997,48,16,1-48-2021-016-03,3,1,1,1,Non-Deployment,1,31275,0,97,9997.0000,7,117.5000,-19.4327,117.5000,997.0000,9997.0000,161.201975911681,12,6
20997,48,16,1-48-2021-016-03,3,2,1,1,Event Record 1,1,7599,0,1,9997.0000,1,9997.0000,-20.9300,146.0000,-6.4400,62.0000,161.201975911681,12,6
20353,52,1,1-52-2021-001-06,6,1,1,1,Event Record 1,1,7092,0,1,9997.0000,1,9997.0000,-8.0500,300.0000,3.2200,96.0000,54.0863209418249,12,6
20353,52,1,1-52-2021-001-06,6,1,1,2,Event Record 2,3,7092,0,2,1.7900,1,9997.0000,-8.0500,148.0000,1.6100,148.0000,54.0863209418249,12,6
20354,52,2,1-52-2021-002-03,3,1,1,4,3rd Prior Event,97,2909,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.594650862345,12,6
20354,52,2,1-52-2021-002-03,3,1,1,2,1st Prior Event,1,5409,0,97,9997.0000,1,9997.0000,-25.9210,98.5000,997.0000,9997.0000,26.594650862345,12,6
