CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
23495,18,81,1-18-2021-081-01,1,1,275,476,182,1550,157,96,105,156,4,2.5,2,4,0,0,62.2666828171456,6,6
23495,18,81,1-18-2021-081-01,1,2,264,444,186,1582,162,89,90,154,4,2.4,2,4,0,0,62.2666828171456,6,6
23495,18,81,1-18-2021-081-01,1,3,275,476,182,1550,157,96,105,162,4,2.5,2,4,0,0,62.2666828171456,6,6
23495,18,81,1-18-2021-081-01,1,4,263,441,176,1480,152,88,89,999,4,2.4,9,3,9,0,62.2666828171456,6,6
23497,32,113,1-32-2021-113-05,5,1,285,475,177,1681,153,82,110,164,6,3.7,2,2,0,0,293.587163726659,7,6
23499,14,75,1-14-2021-075-03,3,2,365,573,203,2261,174,100,108,999,8,5.3,2,2,9,0,1874.20595931656,8,6
23502,13,91,1-13-2021-091-06,6,1,398,614,203,2087,172,96,120,185,8,5.0,2,2,0,0,1250.18024023467,7,6
23504,76,67,1-76-2021-067-03,3,1,276,467,185,1635,158,88,103,999,4,2.0,2,4,9,0,18.5934551148107,3,6
23504,76,67,1-76-2021-067-03,3,2,320,526,172,1725,148,86,120,999,5,3.7,2,3,0,1,18.5934551148107,3,6
23505,18,83,1-18-2021-083-09,9,1,277,485,182,1542,157,102,106,152,4,2.4,2,1,0,0,701.117557839828,6,6
23506,52,163,1-52-2021-163-08,8,1,262,445,171,1067,148,86,97,999,4,1.6,9,1,9,0,39.9305451106576,12,6
23506,52,163,1-52-2021-163-08,8,2,391,596,203,2714,173,100,105,182,8,6.6,2,3,0,1,39.9305451106576,12,6
23507,27,83,1-27-2021-083-03,3,1,284,490,186,1527,163,95,112,150,4,2.5,2,1,0,0,76.6867154183163,3,6
23507,27,83,1-27-2021-083-03,3,2,370,574,203,2450,173,90,113,180,8,4.6,2,3,0,0,76.6867154183163,3,6
23508,27,84,1-27-2021-084-02,2,1,283,488,191,1462,160,94,112,152,4,1.5,2,1,0,0,20.4752442052452,3,6
23508,27,84,1-27-2021-084-02,2,2,273,465,184,1580,158,94,97,152,4,1.5,2,4,0,0,20.4752442052452,3,6
23509,52,164,1-52-2021-164-03,3,1,272,474,181,1491,156,93,108,156,4,2.4,2,1,0,0,37.9987609174344,12,6
23509,52,164,1-52-2021-164-03,3,2,305,505,191,1936,163,92,108,156,6,3.6,2,4,0,0,37.9987609174344,12,6
23510,22,95,1-22-2021-095-09,9,1,284,476,176,1372,148,85,108,150,4,2.5,1,2,0,1,956.84326453135,12,6
