CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
21558,19,58,1-19-2021-058-04,4,2,1750,1005,795,P205/55R16,220,P205/55R16,200,,,,,,,,,156.056762535263,9,6
21570,15,50,1-15-2021-050-03,3,1,2270,1145,1140,9999999999,999,9999999999,999,,,,,,,,,39.2214730380943,1,6
21570,15,50,1-15-2021-050-03,3,2,2720,1345,1590,P245/55R19,999,P245/55R19,999,,,,,,,,,39.2214730380943,1,6
21566,33,8,1-33-2021-008-06,6,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,209.908808818366,12,6
21566,33,8,1-33-2021-008-06,6,2,2260,1190,1080,P235/60R18,999,P235/60R18,999,,,,,,,,,209.908808818366,12,6
21571,27,33,1-27-2021-033-09,9,1,4173,2177,2760,LT245/75R16,420,LT245/75R16,550,,,,,,,,,264.146071265898,3,6
21568,20,38,1-20-2021-038-03,3,2,2291,1273,1273,P225/55R18,230,P225/55R18,230,,,,,,,,,96.3233943191618,11,6
21572,27,34,1-27-2021-034-06,6,1,3175,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,72.8668844410608,3,6
21574,21,58,1-21-2021-058-02,2,1,2050,1016,1061,P235/50R18,220,P235/50R18,220,,,,,,,,,88.2202655213065,11,6
21559,19,59,1-19-2021-059-03,3,1,1785,1050,971,P205/55R16,240,P205/55R16,230,,,,,,,,,51.8982004592346,9,6
21560,19,60,1-19-2021-060-09,9,1,2015,1210,1035,P215/60R16,200,P215/60R16,200,,,,,,,,,286.533072342096,9,6
21561,19,61,1-19-2021-061-04,4,1,2082,1040,1055,P225/65R17,230,P225/65R17,230,,,,,,,,,156.056762535263,9,6
21576,30,31,1-30-2021-031-06,6,2,1695,900,810,P215/55R16,220,P215/55R16,220,,,,,,,,,1901.21272159429,10,6
21577,25,35,1-25-2021-035-04,4,1,1900,970,980,P205/55R16,250,P205/55R16,250,,,,,,,,,494.017387273024,2,6
21583,73,30,1-73-2021-030-07,7,2,1810,975,835,9999999999,999,9999999999,999,,,,,,,,,71.9344845201532,3,6
21584,17,31,1-17-2021-031-07,7,2,1974,1012,962,P215/60R16,240,P215/60R16,240,,,,,,,,,411.830520018039,4,6
21359,16,25,1-16-2021-025-03,3,1,9999,9999,9999,P265/50R20,230,P265/50R20,250,,,,,,,,,448.735746176905,5,6
21359,16,25,1-16-2021-025-03,3,2,2087,1180,1080,P235/45R19,240,P235/45R19,220,,,,,,,,,448.735746176905,5,6
21587,77,33,1-77-2021-033-03,3,1,1851,1057,1016,P195/65R15,250,P195/65R15,240,,,,,,,,,194.338202172531,9,6
21591,10,54,1-10-2021-054-06,6,1,2189,1130,1280,P235/60R17,240,P235/60R17,240,,,,,,,,,712.684872945949,4,6
21592,10,55,1-10-2021-055-03,3,1,2080,1070,1030,P225/60R17,220,P225/60R17,210,,,,,,,,,403.813600469961,4,6
21592,10,55,1-10-2021-055-03,3,2,2318,1272,1300,P235/65R18,230,P235/65R18,230,,,,,,,,,403.813600469961,4,6
21593,77,35,1-77-2021-035-03,3,1,2560,1360,1385,P235/60R18,220,P235/60R18,220,,,,,,,,,194.338202172531,9,6
21593,77,35,1-77-2021-035-03,3,2,2080,1150,1000,P215/60R17,240,P215/60R17,240,,,,,,,,,194.338202172531,9,6
21589,54,17,1-54-2021-017-06,6,1,1980,1060,940,P215/60R16,220,P215/60R16,220,,,,,,,,,160.580971053283,9,6
21589,54,17,1-54-2021-017-06,6,2,2100,1191,1191,P205/65R16,240,P205/65R16,240,,,,,,,,,160.580971053283,9,6
21594,17,32,1-17-2021-032-03,3,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,84.1154898467205,4,6
