CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
21399,19,53,1-19-2021-053-06,6,1,1,1,1,1,88,8,88,8,280.19070552028,9,6
21477,19,55,1-19-2021-055-04,4,1,1,1,1,1,88,8,88,8,332.409092375342,9,6
21131,19,41,1-19-2021-041-03,3,2,1,1,1,1,88,8,88,8,111.871080208057,9,6
21304,19,46,1-19-2021-046-04,4,1,1,1,1,1,88,8,88,8,520.158008443826,9,6
21305,19,47,1-19-2021-047-03,3,2,1,1,1,1,88,8,88,8,153.180420775088,9,6
21487,15,48,1-15-2021-048-03,3,1,1,1,9,9,99,9,99,9,34.667359890988,1,6
21941,28,34,1-28-2021-034-01,1,1,1,1,7,3,5,2,6,1,49.2071087049636,3,6
21946,73,41,1-73-2021-041-03,3,2,1,1,1,1,88,8,88,8,93.3552679333606,3,6
22004,11,32,1-11-2021-032-05,5,2,1,1,1,1,88,8,88,8,108.959765151505,8,6
22007,24,73,1-24-2021-073-09,9,2,1,1,1,1,88,8,88,8,1323.03782006198,1,6
23073,24,123,1-24-2021-123-02,2,1,1,1,1,9,99,9,99,9,124.154189955081,1,6
23131,24,125,1-24-2021-125-01,1,1,1,1,1,9,99,9,99,9,87.9959004767855,1,6
23222,24,129,1-24-2021-129-10,10,2,1,1,1,1,88,8,88,8,5271.86944751826,1,6
22586,73,58,1-73-2021-058-06,6,1,1,1,9,9,99,9,99,9,110.898297775821,3,6
22673,24,106,1-24-2021-106-06,6,1,1,1,1,1,88,8,88,8,684.266907368456,1,6
22673,24,106,1-24-2021-106-06,6,2,1,1,1,9,99,9,99,9,684.266907368456,1,6
22887,73,68,1-73-2021-068-10,10,1,1,1,9,9,99,9,99,9,492.013856929882,3,6
22330,24,93,1-24-2021-093-03,3,2,1,1,1,1,88,8,88,8,331.37546464002,1,6
22373,15,84,1-15-2021-084-06,6,1,1,1,9,9,99,9,99,9,47.9178901941415,1,6
22373,15,84,1-15-2021-084-06,6,2,1,1,9,9,99,9,99,9,47.9178901941415,1,6
22399,24,95,1-24-2021-095-04,4,1,1,1,1,1,88,8,88,8,1470.05859763604,1,6
22583,24,101,1-24-2021-101-03,3,1,1,1,1,1,88,8,88,8,511.797906074988,1,6
22583,24,101,1-24-2021-101-03,3,2,1,1,1,9,99,9,99,9,511.797906074988,1,6
22009,24,75,1-24-2021-075-08,8,1,1,1,1,1,88,8,88,8,182.48538955677,1,6
22095,24,77,1-24-2021-077-06,6,2,1,1,1,1,88,8,88,8,671.586510090188,1,6
22241,24,86,1-24-2021-086-06,6,2,1,1,1,1,88,8,88,8,535.71999285377,1,6
